frame1 #0,3157984#1,056775#3,660082#0,2494936#0,8506579#3,667095# 0,4053684#0,1262258#3,664762#-0,5201525#0,4746992#3,717201#0,4242383#0,2070006#3,642027#-0,4497095#0,4713097#3,727943#0,480848#0,4493253#3,589372#-0,185319#0,5282362#3,665291#0,3645195#0,6762925#3,580762#0,1066356#0,6842656#3,584977#0,2281095#0,4160654#3,668043#0,2230438#0,3397322#3,603748#0,2780927#0,2804711#3,599356#0,162045#0,284059#3,590392#0,3943602#-0,1747011#3,576557#0,04590236#-0,1855846#3,565981#0,5210889#-0,5651176#3,521909#-0,08553521#-0,5793657#3,522629#0,5088941#-0,6487554#3,493489#-0,08618189#-0,6271693#3,429247#1  
frame2 #0,2774536#1,068475#3,661688#0,2483942#0,8491728#3,665128# 0,4211757#0,1338639#3,675979#-0,502131#0,4726738#3,714014#0,4357107#0,2139499#3,650185#-0,4326515#0,4584828#3,709115#0,4793159#0,4542077#3,588065#-0,1919683#0,524726#3,666961#0,3796506#0,6882684#3,588097#0,09430011#0,6861019#3,586876#0,227054#0,4284341#3,66691#0,2234123#0,3595825#3,603286#0,2841681#0,2934922#3,59765#0,157962#0,2912215#3,588828#0,3950316#-0,1712171#3,57406#0,04704304#-0,1837438#3,567464#0,5162802#-0,558509#3,519525#-0,08634248#-0,5796023#3,523235#0,5170749#-0,6070542#3,424633#-0,08554771#-0,6281475#3,428343#1  
frame3 #0,3194908#1,055102#3,71158#0,2545542#0,8401567#3,66462# 0,4368202#0,1940363#3,684314#-0,5199072#0,4713082#3,714902#0,4443336#0,242789#3,63668#-0,4517226#0,4755808#3,720804#0,4781323#0,4614954#3,558868#-0,1465224#0,5499267#3,654343#0,3628179#0,671894#3,580339#0,1169806#0,6917813#3,583719#0,2306656#0,4147542#3,667428#0,2259652#0,3381963#3,603772#0,2791388#0,2797596#3,597181#0,1645893#0,2877403#3,591936#0,4009399#-0,1764621#3,575196#0,04724474#-0,1865517#3,569536#0,5113102#-0,5485789#3,52049#-0,08751#-0,5812342#3,530326#0,511646#-0,5967457#3,426438#-0,08717424#-0,629401#3,436274#1  
frame4 #0,3129378#1,051707#3,715079#0,2528796#0,8362225#3,663524# 0,4220093#0,2186574#3,725477#-0,5246796#0,4714969#3,71544#0,4229535#0,2560291#3,667221#-0,4556475#0,4759251#3,717939#0,4753512#0,4577963#3,556033#-0,1639724#0,5407987#3,654227#0,3658526#0,6756151#3,583207#0,1116873#0,6931026#3,586076#0,2306659#0,4144664#3,667445#0,2260187#0,3381974#3,603962#0,2803081#0,2785639#3,597245#0,1649337#0,2870132#3,593445#0,3997658#-0,1778532#3,577429#0,04488885#-0,1858106#3,567798#0,5163708#-0,5494415#3,522594#-0,08661014#-0,5806202#3,526745#0,5167561#-0,5974557#3,428865#-0,08622485#-0,6286345#3,433016#1  
frame5 #0,2955456#1,055136#3,710917#0,2533792#0,8343986#3,66934# 0,4281319#0,2468617#3,740509#-0,5247816#0,4762056#3,732636#0,4263536#0,2877296#3,683381#-0,4556657#0,4745423#3,720101#0,4824553#0,4586137#3,537102#-0,1816414#0,5327088#3,664629#0,3606607#0,6669647#3,58106#0,09048796#0,6819012#3,591317#0,2318153#0,4106685#3,670887#0,2254223#0,3355236#3,607277#0,2807076#0,2739872#3,60118#0,162796#0,2823951#3,596712#0,4021621#-0,2410707#3,586989#0,04167233#-0,1875857#3,568229#0,524879#-0,5652763#3,523044#-0,08696237#-0,5802944#3,52616#0,5078675#-0,6453156#3,485802#-0,08935802#-0,6284899#3,432041#1  
frame6 #0,2782391#1,055193#3,725802#0,2512215#0,8321207#3,672983# 0,4075154#0,2471294#3,712605#-0,527071#0,477948#3,735425#0,4258701#0,2861699#3,656768#-0,4578922#0,4750623#3,721827#0,4784139#0,4753077#3,529739#-0,1837289#0,5340834#3,667521#0,3391363#0,6716186#3,5887#0,09052299#0,6807198#3,593184#0,2284135#0,4058426#3,672917#0,2230317#0,3308856#3,609207#0,2765788#0,271964#3,603801#0,1625564#0,2798312#3,59763#0,3995907#-0,2477648#3,590454#0,03811979#-0,1898679#3,573034#0,5283779#-0,5721759#3,528375#-0,08784041#-0,5804323#3,526502#0,5268446#-0,657088#3,498786#-0,0885585#-0,6286224#3,432313#1  
frame7 #0,2726449#1,053561#3,724201#0,2495683#0,8299003#3,675971# 0,4100591#0,2201263#3,679842#-0,5302144#0,4774416#3,735544#0,4272555#0,2851724#3,63498#-0,4607763#0,4763874#3,724613#0,4788448#0,4803106#3,515633#-0,18531#0,534007#3,668813#0,3371544#0,6726447#3,58779#0,08912753#0,6810576#3,594857#0,2275947#0,4051787#3,673768#0,2216112#0,3308211#3,609938#0,2752522#0,2720783#3,603998#0,1611928#0,2797548#3,59856#0,3996844#-0,2477949#3,590632#0,03664333#-0,1904285#3,575347#0,5289795#-0,5717141#3,527326#-0,08867358#-0,5806756#3,526502#0,5253552#-0,6574118#3,500245#-0,0904393#-0,6288483#3,432298#1  
frame8 #0,2745976#1,04493#3,734394#0,2444831#0,8215916#3,680954# 0,4154199#0,2580732#3,698241#-0,5304707#0,4766176#3,7286#0,4310627#0,3154886#3,643784#-0,4599421#0,4756466#3,725406#0,4779911#0,4877348#3,495627#-0,1929984#0,5335554#3,676877#0,33623#0,6731058#3,589542#0,08111022#0,6801487#3,603942#0,2255823#0,4035747#3,673902#0,2177694#0,3309852#3,609679#0,2717108#0,271404#3,602589#0,1566733#0,2791688#3,597859#0,4005786#-0,2490509#3,603936#0,02879088#-0,1915573#3,578532#0,53189#-0,5737007#3,528007#-0,08998379#-0,5807981#3,528635#0,5174313#-0,6574813#3,49786#-0,09456509#-0,6290706#3,434236#1  
frame9 #0,2744606#1,035161#3,736706#0,245685#0,8113115#3,686842# 0,4056209#0,1694446#3,56193#-0,5304087#0,4778025#3,739617#0,4209854#0,2456958#3,540586#-0,4599195#0,4761278#3,732834#0,4670789#0,4744496#3,491762#-0,1958082#0,5339793#3,682246#0,3383687#0,671527#3,5964#0,08056771#0,6756384#3,608526#0,2234418#0,3987287#3,670979#0,2158982#0,328122#3,605067#0,2692005#0,2672855#3,595628#0,1546936#0,2751051#3,590299#0,4148613#-0,2508938#3,637764#0,01961684#-0,1940457#3,578561#0,5263343#-0,5608289#3,533466#-0,0904561#-0,5810775#3,530912#0,5049986#-0,6392707#3,494156#-0,09427007#-0,629405#3,436386#1  
frame10 #0,2741518#1,024928#3,774042#0,2536577#0,8030436#3,692473# 0,4079685#0,2113461#3,652819#-0,5335745#0,4783328#3,740715#0,4226389#0,2764747#3,60752#-0,4628674#0,4749736#3,736064#0,4666502#0,4718604#3,486838#-0,1994696#0,5282265#3,684846#0,3356054#0,6620359#3,599625#0,08362897#0,6594893#3,617334#0,2279497#0,3869818#3,666225#0,2180784#0,3176504#3,598513#0,2696205#0,2598962#3,587298#0,1578193#0,2658362#3,585119#0,4181223#-0,2488079#3,64361#0,01602389#-0,1955684#3,579185#0,5270137#-0,5582045#3,535489#-0,09075768#-0,5807297#3,532105#0,5116681#-0,6434171#3,509783#-0,09740087#-0,6292325#3,437797#1  
frame11 #0,2796889#0,9984779#3,829943#0,304121#0,7818864#3,725347# 0,4271215#0,2119237#3,583182#-0,4846002#0,4851857#3,771537#0,4574614#0,277571#3,548249#-0,4049481#0,4806239#3,761614#0,5484813#0,4745127#3,45869#-0,1528926#0,504712#3,694364#0,39012#0,6188221#3,598824#0,125424#0,6172963#3,640159#0,2676375#0,3731613#3,666096#0,2498378#0,3118387#3,5953#0,3068394#0,2558668#3,553011#0,1933355#0,2446201#3,597238#0,4267135#-0,2541273#3,654236#0,03107879#-0,2113227#3,570175#0,5232704#-0,5644943#3,545316#-0,09231175#-0,580207#3,531339#0,5133488#-0,6436136#3,502789#-0,1071485#-0,6305699#3,438889#1  
frame12 #0,2819423#1,00304#3,814263#0,3349499#0,7845411#3,744348# 0,6742684#0,2621101#3,280959#-0,377438#0,4943326#3,797145#0,6704947#0,2582941#3,351802#-0,296627#0,4807053#3,769548#0,6223608#0,460503#3,483674#-0,04276358#0,500546#3,697677#0,4880052#0,6165057#3,633708#0,2089853#0,60777#3,651297#0,344928#0,3496121#3,662334#0,3429425#0,2847147#3,585017#0,4062697#0,2285624#3,569513#0,2845332#0,2200807#3,558475#0,4729263#-0,2427658#3,65792#0,1279862#-0,2470085#3,533755#0,5243675#-0,5637192#3,558692#-0,07920447#-0,5708785#3,526885#0,517831#-0,6141229#3,467125#-0,08574095#-0,6212823#3,435318#1  
frame13 #0,2552161#0,9774205#3,803406#0,3689808#0,7825041#3,754072# 0,5527329#0,2560815#3,358036#-0,362514#0,5001314#3,788151#0,5600908#0,2559365#3,428588#-0,2895093#0,484484#3,769674#0,6612275#0,4692993#3,473115#-0,03962921#0,4996761#3,698342#0,5157063#0,6139209#3,638172#0,217263#0,6056087#3,652295#0,3740315#0,3480416#3,662856#0,371258#0,2846322#3,584793#0,4414966#0,229473#3,572718#0,3037813#0,2153048#3,552065#0,4874457#-0,2144714#3,641299#0,154985#-0,2332963#3,528088#0,522489#-0,5676876#3,55969#-0,08178324#-0,5809137#3,526251#0,5175754#-0,6188974#3,468636#-0,08669683#-0,6321235#3,435196#1  
frame14 #0,3704196#0,9771797#3,780844#0,4392651#0,7641184#3,727474# 0,7380918#0,1808413#3,509975#-0,2490075#0,4853301#3,716981#0,7512138#0,2583808#3,510128#-0,1640283#0,4764844#3,697286#0,7905799#0,4909993#3,525763#0,09802678#0,4980015#3,624945#0,6062399#0,6220325#3,65223#0,3078139#0,6027976#3,628885#0,4571416#0,3494186#3,657354#0,4668354#0,2886589#3,583805#0,5324544#0,2292945#3,570049#0,4118923#0,2218445#3,557288#0,5310721#-0,237591#3,660616#0,2614726#-0,2166731#3,569771#0,5418444#-0,5561488#3,561458#0,2754833#-0,5801914#3,380908#0,4985798#-0,6182936#3,515225#0,2000711#-0,6273003#3,375421#1  
frame15 #0,3739944#0,9689803#3,779547#0,4650632#0,7646086#3,724723# 0,7522032#0,1879384#3,604907#-0,1968259#0,481757#3,694332#0,7669179#0,2626901#3,586809#-0,1141943#0,4726329#3,675521#0,8110623#0,4869451#3,547701#0,1043183#0,498535#3,608438#0,6158172#0,621238#3,650778#0,3149141#0,601351#3,621961#0,4863676#0,3500545#3,657648#0,4941232#0,2885672#3,58401#0,5706518#0,2248693#3,574708#0,4279405#0,2208703#3,552921#0,5550823#-0,2302377#3,663353#0,4042362#-0,2485508#3,619149#0,5593888#-0,5468377#3,553637#0,3512432#-0,5767816#3,389116#0,5063283#-0,5840057#3,493034#0,2917759#-0,64132#3,376154#1  
frame16 #0,3811474#0,9701383#3,791216#0,4667256#0,7641307#3,720847# 0,7499949#0,1894401#3,635556#-0,2036789#0,486675#3,690497#0,7709863#0,2609484#3,612058#-0,1186997#0,4778292#3,670802#0,8339605#0,475473#3,556753#0,1078053#0,4892455#3,572896#0,6169629#0,6217611#3,650308#0,3265526#0,5981991#3,611031#0,4895669#0,3496678#3,656571#0,5013468#0,2877397#3,583554#0,5747666#0,2260493#3,576239#0,4412813#0,2181033#3,549848#0,5412405#-0,189769#3,635889#0,3410219#-0,1914399#3,575583#0,5203479#-0,5801063#3,398618#0,4657391#-0,586929#3,391263#0,4580871#-0,6405249#3,378973#0,4147278#-0,6579178#3,374795#1  
frame17 #0,4017858#0,9935271#3,749736#0,4876267#0,7856981#3,707305# 0,8720582#0,2067947#3,74013#-0,1367002#0,4831234#3,551976#0,8719385#0,2771351#3,706409#-0,06836955#0,4667742#3,54411#0,8715792#0,4881561#3,620411#0,1778978#0,4787903#3,446275#0,6013222#0,6354566#3,629248#0,3598776#0,599969#3,579227#0,5406954#0,355755#3,656124#0,5631177#0,2881598#3,58637#0,6346844#0,2395436#3,60075#0,5098724#0,2270766#3,544591#0,6230518#-0,2666731#3,501282#0,5366787#-0,2362666#3,534237#0,8772025#-0,5896201#3,504767#0,5093316#-0,5541762#3,577788#0,7905474#-0,6391357#3,478049#0,5051224#-0,6220743#3,520243#1  
frame18 #0,4388853#0,9957271#3,743426#0,5247767#0,7889646#3,6898# 0,9479315#0,2704145#3,824005#-0,07405938#0,442532#3,503019#0,9233338#0,3275588#3,777249#-0,006633148#0,4429029#3,483628#0,8495407#0,4989915#3,652124#0,2076312#0,4447216#3,40605#0,5786294#0,6375486#3,597078#0,3985125#0,6002446#3,55981#0,5754685#0,3527134#3,645627#0,5952089#0,283134#3,576155#0,6432109#0,2404703#3,596555#0,5600625#0,2295505#3,532402#0,7008637#-0,2750138#3,48407#0,5630563#-0,2345387#3,638815#0,9551646#-0,5570337#3,552896#0,5185735#-0,5581459#3,579282#0,9244184#-0,633186#3,522852#0,5318745#-0,6322597#3,534814#1  
frame19 #0,4736374#0,9761946#3,691675#0,5933961#0,7888993#3,67284# 0,2261707#0,3114704#3,328966#-0,006589808#0,444254#3,487007#0,2921256#0,3333751#3,338333#0,05728452#0,441083#3,458238#0,5022745#0,4216886#3,302417#0,2752338#0,4417029#3,38933#0,6164358#0,6196304#3,497598#0,4669327#0,5997318#3,542793#0,6617235#0,309392#3,643368#0,6548095#0,2236777#3,577591#0,6962895#0,1943206#3,541273#0,6221339#0,1720034#3,598078#0,7434205#-0,2583887#3,570696#0,5783815#-0,2533289#3,69588#1,012989#-0,5486848#3,614503#0,5165462#-0,5593072#3,56778#0,9875165#-0,6312324#3,608443#0,4878661#-0,6056683#3,481709#1  
frame20 #0,5307425#0,9784278#3,689545#0,6227484#0,7756174#3,665817# 0,4127147#0,2641854#3,297481#0,02300439#0,430973#3,479812#0,4769335#0,2897916#3,285699#0,08688481#0,4278017#3,451041#0,6801317#0,4135249#3,318366#0,3045861#0,428421#3,382254#0,6555449#0,6163138#3,493275#0,4962851#0,5864499#3,53577#0,7052007#0,3295218#3,639634#0,7017182#0,2512645#3,574331#0,7462948#0,1930536#3,490893#0,6785944#0,1545698#3,626556#0,8091271#-0,2537873#3,55011#0,5903034#-0,2571313#3,687097#1,029277#-0,5785549#3,635605#0,5184117#-0,5626602#3,566707#1,020707#-0,6647643#3,635438#0,491948#-0,6090671#3,479907#1  
