frame1 #-0,1573153#1,007598#3,834943#0,0289119#0,8747792#3,712877# 0,202305#0,2432753#3,624411#-0,665883#0,5026814#3,699035#0,2258545#0,305341#3,594317#-0,5888158#0,4933017#3,680917#0,296503#0,4915382#3,520133#-0,3135886#0,5139557#3,590527#0,1387679#0,6929168#3,587724#-0,1201565#0,6803475#3,599297#0,01879342#0,4241923#3,691623#0,01294189#0,3485033#3,621333#0,06945162#0,2937195#3,601865#-0,04706433#0,2880633#3,617234#0,1763251#-0,1699709#3,586376#-0,1533189#-0,2062885#3,550191#0,3009262#-0,530696#3,539572#-0,274288#-0,5994435#3,535714#0,2956775#-0,5824009#3,439021#-0,2500356#-0,6877122#3,506104#1  
frame12 #0,1031228#1,049187#3,917321#0,01652187#0,8885703#3,73438# 0,221025#0,2337209#3,582976#-0,6557172#0,4874489#3,709663#0,2402958#0,3009893#3,564581#-0,5668523#0,4684707#3,686455#0,2981084#0,5027943#3,525387#-0,3161326#0,5138113#3,603063#0,1297538#0,6870313#3,594481#-0,1213516#0,6827105#3,608115#0,02085299#0,4101146#3,700766#0,01759608#0,3285277#3,627789#0,07337627#0,2735674#3,609189#-0,03792697#0,2730514#3,62234#0,1837817#-0,1657737#3,593986#-0,1519259#-0,1912681#3,558155#0,2809548#-0,5042923#3,541344#-0,2491713#-0,5765487#3,520411#0,2758244#-0,5517688#3,449194#-0,2543018#-0,6240252#3,428261#1  
frame13 #0,1221851#1,055107#3,908708#0,01741376#0,8919616#3,741318# 0,237628#0,3111785#3,719975#-0,6557431#0,4868876#3,709558#0,2527564#0,3584149#3,6673#-0,5662439#0,4677358#3,685931#0,2981416#0,500124#3,525416#-0,3163985#0,513316#3,603858#0,1286038#0,6859123#3,595506#-0,1227284#0,6791756#3,609721#0,02153784#0,4071344#3,702411#0,01806907#0,324815#3,629025#0,07329707#0,2702397#3,610964#-0,03689963#0,2691341#3,622447#0,1841533#-0,166554#3,594856#-0,1523149#-0,1906769#3,559568#0,2903858#-0,512907#3,539#-0,2472567#-0,5750469#3,520886#0,2847949#-0,5606477#3,446501#-0,2528475#-0,6227875#3,428388#1  
frame14 #-0,03912266#1,097482#3,8651#0,01688275#0,8922398#3,740684# 0,2203521#0,2393935#3,611239#-0,661914#0,4881759#3,711186#0,2398881#0,3042523#3,58582#-0,5717462#0,471576#3,690267#0,2984961#0,4988289#3,525469#-0,3163908#0,5128703#3,602778#0,1292791#0,685254#3,594599#-0,1229654#0,6785424#3,609#0,02158513#0,4060334#3,701386#0,01822243#0,3235141#3,627878#0,07385743#0,2684687#3,609688#-0,03692792#0,2669398#3,621295#0,1842425#-0,1666563#3,59399#-0,1526035#-0,190566#3,558541#0,2881474#-0,5096505#3,540183#-0,2455697#-0,5724227#3,518804#0,2826678#-0,5560489#3,450284#-0,2510493#-0,6188211#3,428905#1  
frame15 #-0,03724355#1,0986#3,87149#0,01456674#0,8930485#3,743619# 0,1793592#0,270893#3,626927#-0,6564969#0,4859377#3,729759#0,2084794#0,3301334#3,597638#-0,57069#0,4700976#3,693007#0,29584#0,5078546#3,5258#-0,3169824#0,5129403#3,603043#0,128838#0,6840958#3,595133#-0,1276285#0,6744084#3,611083#0,02070684#0,4048361#3,702271#0,01694077#0,3223631#3,628561#0,07284632#0,2661918#3,610038#-0,03895582#0,2655703#3,621672#0,1838441#-0,1392306#3,598531#-0,1543112#-0,1855184#3,559916#0,2947421#-0,5152709#3,541141#-0,2339252#-0,5520051#3,512209#0,2886494#-0,5608465#3,452948#-0,2400179#-0,5975807#3,424017#1  
frame16 #-0,03333782#1,079579#3,912596#0,01421326#0,8934354#3,744777# 0,1824444#0,2663704#3,626201#-0,6574895#0,4863064#3,729966#0,2100033#0,3264495#3,59749#-0,5707548#0,4702861#3,692922#0,2926801#0,5066866#3,527247#-0,3175053#0,5168597#3,603817#0,1271263#0,6827088#3,594938#-0,1275876#0,673611#3,611449#0,0191028#0,402011#3,700336#0,0145114#0,3187748#3,625505#0,06944356#0,2618562#3,604281#-0,04077011#0,2633763#3,619889#0,1821031#-0,1436411#3,596741#-0,1600773#-0,1793121#3,560798#0,2898831#-0,5102975#3,542388#-0,2347928#-0,5580602#3,516304#0,2836846#-0,5551364#3,45576#-0,2409913#-0,602899#3,429677#1  
frame17 #-0,1287128#1,056589#3,876601#0,01147374#0,8964109#3,752449# 0,2226577#0,2327969#3,540488#-0,6699299#0,4875426#3,733991#0,2398062#0,3020589#3,531727#-0,581366#0,4726845#3,701049#0,2912516#0,5098451#3,521187#-0,3180394#0,5190696#3,605669#0,1268579#0,6824402#3,594519#-0,1295666#0,6739666#3,613465#0,01836378#0,4006017#3,699276#0,0132416#0,3178564#3,624102#0,06888214#0,2608383#3,603023#-0,04341666#0,2621552#3,617195#0,1799141#-0,153594#3,59674#-0,1629719#-0,1772952#3,560432#0,2798954#-0,5034795#3,540435#-0,2346233#-0,5585262#3,516537#0,2729841#-0,5479292#3,454974#-0,2415347#-0,6029758#3,431077#1  
frame18 #-0,07311399#1,069604#3,916227#0,01026161#0,8948835#3,752865# 0,2260498#0,2351106#3,545177#-0,6709796#0,4870628#3,735288#0,2419157#0,3042303#3,534596#-0,5803394#0,4733759#3,707895#0,2895134#0,5115893#3,518464#-0,3172463#0,5209386#3,608543#0,1268661#0,6823807#3,594103#-0,129766#0,6744903#3,617588#0,01603085#0,3994861#3,697659#0,009600753#0,3173204#3,622072#0,06496608#0,2609834#3,600761#-0,04711561#0,260948#3,614658#0,1762476#-0,1439143#3,600648#-0,1682351#-0,1880376#3,557802#0,2807179#-0,5042962#3,54074#-0,2398532#-0,5716169#3,520728#0,2724142#-0,5480722#3,456846#-0,2481569#-0,6153929#3,436834#1  
frame19 #-0,1045553#1,024976#3,915624#0,01559939#0,8746156#3,749345# 0,215574#0,2711621#3,636686#-0,6716038#0,4861473#3,73833#0,2337877#0,3311389#3,60228#-0,5808539#0,4728563#3,709774#0,2884287#0,5110694#3,514776#-0,316017#0,5244254#3,626984#0,1288514#0,6801111#3,595463#-0,1281605#0,6726909#3,630746#0,01882776#0,3978312#3,69695#0,009683518#0,3169792#3,62219#0,06537326#0,2606317#3,598759#-0,04722068#0,2595658#3,615326#0,182004#-0,1385174#3,62525#-0,1733366#-0,1937434#3,557082#0,2793424#-0,4947887#3,550443#-0,2441799#-0,5759392#3,523353#0,2672294#-0,538124#3,467946#-0,2562929#-0,6192745#3,440856#1  
frame20 #-0,05388517#0,9658759#3,87897#0,05981464#0,8139322#3,709327# 0,2150402#0,2152829#3,526273#-0,6563618#0,4763435#3,736032#0,239778#0,2811337#3,513083#-0,5725004#0,4679278#3,712785#0,3139911#0,4786864#3,489229#-0,3148652#0,5154127#3,666912#0,1434994#0,6711993#3,601594#-0,1220595#0,6582342#3,655305#0,04314048#0,3899403#3,686989#0,02410074#0,3164317#3,617451#0,08044665#0,2599128#3,591242#-0,03688104#0,2548267#3,614622#0,2022946#-0,1857468#3,66067#-0,1728609#-0,1962477#3,555358#0,2837021#-0,4950618#3,55515#-0,2450636#-0,5810028#3,524692#0,2659655#-0,537708#3,474228#-0,2628002#-0,623649#3,44377#1  
frame21 #-0,03613832#0,9599919#3,904907#0,05972188#0,8149642#3,713749# 0,2405831#0,2418482#3,619724#-0,6342195#0,458011#3,778431#0,2591914#0,3008806#3,583927#-0,5520028#0,4629935#3,766919#0,3150163#0,4779776#3,492283#-0,3112968#0,5147655#3,668923#0,1598881#0,6623586#3,603571#-0,111698#0,641458#3,655647#0,0538726#0,3835939#3,684791#0,04063143#0,3100362#3,61331#0,09816251#0,2534952#3,582919#-0,01601456#0,2423839#3,612334#0,2021139#-0,1855532#3,660853#-0,1715262#-0,1963164#3,554803#0,290477#-0,5006908#3,561858#-0,2468943#-0,5814375#3,525093#0,273163#-0,5430564#3,481536#-0,2642083#-0,623803#3,444771#1  
frame22 #0,01234382#1,000983#3,880682#0,07808802#0,8158286#3,722316# 0,2544003#0,2350612#3,609914#-0,6052959#0,4546678#3,778124#0,2716268#0,296239#3,577352#-0,5130382#0,4491799#3,745321#0,3233063#0,4797727#3,495448#-0,305393#0,5071161#3,681667#0,1767505#0,654188#3,608241#-0,09017058#0,623836#3,676707#0,07597743#0,3753701#3,68263#0,05631651#0,3036137#3,611819#0,1114134#0,2482321#3,577328#-0,002533354#0,2339747#3,614601#0,2018392#-0,1856714#3,661818#-0,1591874#-0,1941463#3,552987#0,2936423#-0,4980541#3,568728#-0,2470522#-0,5807482#3,52455#0,2704633#-0,5403026#3,490368#-0,2702312#-0,6229966#3,44619#1  
frame23 #0,05732886#1,000573#3,870797#0,1589237#0,8099827#3,759546# 0,385449#0,2835003#3,605102#-0,5447835#0,4434547#3,788389#0,4014165#0,3471874#3,577638#-0,4681015#0,4424839#3,787509#0,4493191#0,5382488#3,51091#-0,2126858#0,4794175#3,699789#0,2934527#0,6409684#3,645297#0,011377#0,6162328#3,690228#0,1708453#0,3685003#3,693517#0,1608144#0,3007848#3,617528#0,2187153#0,2486275#3,58402#0,1033766#0,2282566#3,612426#0,270385#-0,1820338#3,671783#-0,05527205#-0,2430937#3,552794#0,3068329#-0,5027155#3,601244#-0,2384445#-0,5621142#3,516453#0,2915499#-0,546113#3,521281#-0,2537275#-0,6055117#3,436491#1  
frame24 #0,05932934#0,9843231#3,864344#0,1754201#0,8020602#3,755378# 0,4362634#0,2426272#3,645369#-0,5038636#0,4395271#3,780555#0,4446467#0,3036224#3,609713#-0,4127427#0,4310051#3,760696#0,4697968#0,486608#3,518296#-0,1886666#0,4813047#3,696843#0,3049551#0,6389382#3,647626#0,02327712#0,6125962#3,685599#0,2036367#0,3291575#3,68722#0,1963329#0,2548152#3,610744#0,2591171#0,1962787#3,594775#0,1359001#0,1907839#3,591023#0,2646704#-0,2646863#3,675632#-0,05150644#-0,2471112#3,555178#0,3217809#-0,5765715#3,58584#-0,2329513#-0,5692418#3,522936#0,3248327#-0,583928#3,50791#-0,2462095#-0,6121737#3,442471#1  
frame25 #0,09206791#0,9840807#3,882164#0,1905788#0,7999154#3,754087# 0,4404405#0,258928#3,654765#-0,4736822#0,4377767#3,771659#0,4525331#0,3177439#3,617088#-0,3779359#0,4346347#3,753297#0,4888109#0,4941916#3,519497#-0,1768626#0,4835766#3,698063#0,3481543#0,6193489#3,648685#0,02420078#0,6110035#3,687025#0,2078414#0,3345285#3,68861#0,2028419#0,2618487#3,612509#0,2743818#0,1980982#3,597663#0,1363438#0,1934352#3,590296#0,3116879#-0,1795491#3,668589#-0,03263012#-0,2497389#3,563571#0,3114066#-0,4989973#3,604583#-0,1851371#-0,586073#3,503497#0,3230294#-0,5782445#3,555343#-0,1953368#-0,6288179#3,423145#1  
frame26 #0,08229461#0,9750071#3,87348#0,2020328#0,7982796#3,757599# 0,4803116#0,2824315#3,685329#-0,4820741#0,4373472#3,774325#0,4923312#0,3403369#3,643289#-0,3931303#0,4307441#3,759533#0,52839#0,514053#3,53266#-0,1518537#0,4871293#3,692775#0,3756352#0,628781#3,656108#0,09497375#0,6157644#3,666624#0,2276927#0,3347515#3,695156#0,2299255#0,2616667#3,619119#0,2997624#0,1985717#3,604978#0,1669953#0,1981858#3,59699#0,3187076#-0,1805468#3,67285#-0,01303015#-0,2473949#3,573833#0,315057#-0,4986208#3,607059#-0,1386559#-0,5974376#3,478579#0,3248711#-0,5751164#3,556861#-0,1424887#-0,6399087#3,398044#1  
frame27 #0,3332153#0,925433#3,76525#0,4686755#0,7466623#3,700867# 0,1505784#0,226155#3,415823#-0,2202799#0,3854973#3,71513#0,2084291#0,2667762#3,408456#-0,1493794#0,3780142#3,703643#0,3819812#0,3886398#3,401914#0,1126628#0,4386016#3,63039#0,5182726#0,5800363#3,553009#0,3497103#0,5658473#3,606503#0,5429806#0,2609697#3,719075#0,5363885#0,1678111#3,659977#0,5820888#0,1258118#3,617565#0,5027951#0,1063131#3,692296#0,5055192#-0,2291765#3,742682#0,4094858#-0,2658754#3,743361#0,3049071#-0,4865979#3,607138#0,2805518#-0,5909652#3,638258#0,3330996#-0,5879228#3,608236#0,3508247#-0,5989636#3,594649#1  
frame28 #0,6092863#0,8657386#3,656122#0,695271#0,6867295#3,708093# 0,8445768#0,2040818#3,428654#0,2373168#0,706914#3,930319#0,8882682#0,2267891#3,481101#0,2575751#0,6451764#3,899443#1,020815#0,4121381#3,61553#0,3818131#0,4714426#3,914466#0,833052#0,5713063#3,61249#0,5880358#0,5867544#3,801622#0,7549561#0,3277443#3,752172#0,7276215#0,254136#3,714067#0,7755153#0,1804158#3,67286#0,6907658#0,1802544#3,751999#0,8194414#-0,1977936#3,534973#0,4910041#-0,2345983#3,715031#0,8526769#-0,56326#3,646351#0,3810695#-0,5725588#3,670022#0,8025224#-0,607966#3,584035#0,330915#-0,6172647#3,607706#1  
frame29 #0,6789726#0,8928343#3,714316#0,729046#0,6925648#3,740475# 0,8773677#0,1423155#3,508476#0,3806089#0,7842446#3,574504#0,9144456#0,2320398#3,512961#0,4132901#0,7024224#3,533487#1,077846#0,4320104#3,656576#0,425627#0,4957716#3,749595#0,8830073#0,5824202#3,649412#0,6140481#0,5969589#3,7505#0,7710935#0,3287243#3,764079#0,759064#0,2602087#3,715185#0,8318413#0,1950372#3,673944#0,7027272#0,1848276#3,747566#0,8218281#-0,1967308#3,539745#0,5395991#-0,195503#3,720372#0,8532736#-0,5587792#3,64708#0,3953224#-0,5632226#3,674027#0,8285716#-0,6311683#3,657584#0,3348609#-0,6112334#3,67428#1  
