frame12 #0,4647889#0,9123499#3,749738#0,5660225#0,7326751#3,730181# 0,4566878#0,2286254#3,466276#0,5882337#0,2270553#3,511385#0,509336#0,2541139#3,482216#0,5096636#0,2662102#3,492177#0,6749507#0,416821#3,389656#0,2739534#0,3836751#3,448736#0,5883341#0,5723915#3,572775#0,5048154#0,5235359#3,561984#0,62611#0,2883623#3,722657#0,6403058#0,2097518#3,66193#0,6767836#0,1891071#3,63113#0,6345541#0,1729635#3,683255#0,7487006#-0,2802588#3,53884#0,470725#-0,2677435#3,776287#0,8812248#-0,5751272#3,662674#0,4837036#-0,5615373#3,641843#0,8633584#-0,6443661#3,654279#0,5116767#-0,6278127#3,644805#1  
frame13 #0,519907#0,888687#3,73153#0,6256164#0,7106552#3,719959# 0,6089564#0,2293657#3,457302#0,6694065#0,1928939#3,475701#0,6612255#0,2546707#3,473127#0,5849454#0,2347836#3,462616#0,8319197#0,4124207#3,412643#0,3315624#0,3604527#3,437626#0,6859128#0,5650639#3,564224#0,5644093#0,501516#3,551762#0,6821916#0,3219163#3,723746#0,6948667#0,2539169#3,665015#0,7296968#0,2019133#3,612589#0,6767939#0,1897422#3,699583#0,7946535#-0,2540801#3,53685#0,4915505#-0,2076082#3,756374#0,8825175#-0,5753829#3,663445#0,5017092#-0,5877612#3,662746#0,8625966#-0,6459018#3,660726#0,5039192#-0,6272368#3,58607#1  
frame14 #0,5492305#0,8918282#3,729734#0,6482676#0,7159397#3,715726# 0,8264509#0,2896267#3,478444#0,7096079#0,2745266#3,741089#0,8551353#0,2800081#3,480646#0,6238451#0,3161576#3,727627#0,9632677#0,4640456#3,491086#0,3665566#0,4410509#3,70153#0,7570899#0,5766119#3,57134#0,6020873#0,58374#3,816715#0,7461056#0,3505245#3,710666#0,7122634#0,2740589#3,679745#0,7511709#0,2166567#3,624907#0,6898083#0,2026899#3,720776#0,806785#-0,2397344#3,542738#0,492884#-0,1855127#3,746376#0,8845016#-0,5768619#3,665243#0,499392#-0,5307022#3,665504#0,8671134#-0,649591#3,665333#0,53306#-0,5971171#3,67239#1  
frame15 #0,5916304#0,8952243#3,714537#0,6718308#0,7159666#3,708146# 0,7449665#0,202547#3,476211#0,7191258#0,2876104#3,745276#0,8071181#0,2487738#3,477624#0,6325858#0,3290814#3,731586#0,9966536#0,4671554#3,522731#0,3729657#0,4534942#3,704746#0,7825782#0,5959747#3,583921#0,6101012#0,5971557#3,820401#0,7596584#0,4024038#3,726266#0,7238542#0,3352107#3,696539#0,7658595#0,2650374#3,634354#0,6985122#0,2544375#3,749705#0,8163702#-0,224532#3,545563#0,4938589#-0,174357#3,731693#0,8847737#-0,5771563#3,664884#0,498346#-0,530353#3,663139#0,8667488#-0,6502866#3,665277#0,5350777#-0,5960131#3,666692#1  
frame16 #0,6010203#0,8811604#3,707194#0,6891802#0,7105156#3,703396# 0,7656173#0,196877#3,485018#0,5591285#0,4900828#3,97889#0,8484778#0,2641439#3,492332#0,5673574#0,519067#3,902794#1,049307#0,470623#3,561507#0,3737448#0,4542243#3,706449#0,805702#0,5896727#3,590226#0,6128727#0,5990926#3,822667#0,7663741#0,3883305#3,726368#0,7327883#0,3197179#3,6939#0,7767282#0,2556038#3,637906#0,7014427#0,2459643#3,743113#0,8253756#-0,2325464#3,550897#0,4935294#-0,1694696#3,723419#0,8860539#-0,5769015#3,665348#0,4983727#-0,5303257#3,661544#0,86476#-0,6497306#3,665348#0,5322112#-0,5982083#3,663646#1 
frame17 #0,6500551#0,9106448#3,710612#0,7107604#0,7119856#3,694609# 0,8226593#0,2008424#3,499974#0,2510401#0,7452033#4,019223#0,9040245#0,2693291#3,513552#0,3160228#0,6789297#4,001434#1,082047#0,4754678#3,632346#0,5109708#0,4801089#3,962138#0,8718349#0,5951839#3,615456#0,614091#0,5986526#3,821604#0,7684487#0,399677#3,729477#0,7444602#0,3365816#3,693505#0,796859#0,2655638#3,639522#0,703779#0,2507945#3,742334#0,8383173#-0,216701#3,559476#0,5081161#-0,1617455#3,717687#0,8876041#-0,5757201#3,667883#0,4980399#-0,5302852#3,659548#0,8639291#-0,6483607#3,664472#0,4477941#-0,5742991#3,599271#1  
frame18 #0,690242#0,8695524#3,702135#0,7605466#0,6899331#3,688073# 0,8610371#0,2027483#3,511983#0,2421844#0,6942725#3,837963#0,9237911#0,2497797#3,514927#0,2918422#0,6409274#3,83488#1,092807#0,4516284#3,648497#0,4408155#0,4808921#3,839589#0,9027483#0,592992#3,630767#0,6153626#0,5920107#3,813446#0,7853725#0,3833032#3,72593#0,7618034#0,3239673#3,690745#0,8302876#0,2503539#3,653036#0,7078546#0,2436587#3,729742#0,8459141#-0,2332649#3,557605#0,5169353#-0,1504679#3,71414#0,8950667#-0,5680137#3,667732#0,4980684#-0,5303558#3,659194#0,8657745#-0,639084#3,66666#0,4542826#-0,5735445#3,592878#1  
frame19 #0,7067218#0,8896801#3,705381#0,7559972#0,6937106#3,691381# 0,861484#0,1997377#3,510504#0,2632331#0,7375157#3,771629#0,9302851#0,2540925#3,518109#0,2705309#0,6792369#3,755238#1,095346#0,4531459#3,656044#0,4467477#0,4838006#3,804674#0,9136148#0,5935593#3,637898#0,626175#0,5887585#3,790308#0,7836371#0,3820032#3,724725#0,7671144#0,3205476#3,689795#0,8347855#0,2495647#3,655164#0,7134862#0,2416068#3,719699#0,85388#-0,222079#3,557647#0,5179024#-0,1488074#3,712639#0,8951336#-0,5699599#3,670287#0,4972666#-0,5302261#3,658139#0,8644829#-0,640646#3,66542#0,4589007#-0,5737615#3,588272#1  
frame20 #0,7062693#0,8903413#3,704828#0,7606821#0,6959316#3,696638# 0,9009328#0,2294063#3,548056#0,2794515#0,6944205#3,661297#0,9610568#0,273297#3,549139#0,3119052#0,6168324#3,659575#1,094976#0,4360715#3,663016#0,4575063#0,4712267#3,715751#0,9245618#0,5903285#3,641947#0,6244923#0,5899337#3,789958#0,7863744#0,3828005#3,724988#0,7710765#0,3216095#3,690808#0,8398353#0,2497451#3,657216#0,7137667#0,2418133#3,71896#0,8542668#-0,2187101#3,55484#0,5206853#-0,14449#3,711639#0,8949865#-0,5705253#3,669586#0,4971651#-0,5309659#3,65779#0,8642001#-0,6416261#3,665992#0,5261264#-0,6024597#3,665909#1  
frame21 #0,7077963#0,8883434#3,701907#0,7601926#0,6954547#3,697073# 0,9010051#0,2301502#3,548023#0,310954#0,6918775#3,589457#0,9611292#0,2740409#3,549105#0,3407367#0,6137416#3,575292#1,097392#0,438144#3,665784#0,4527459#0,4681844#3,687156#0,9244594#0,5897148#3,641939#0,6294584#0,5669456#3,762915#0,7887332#0,3761101#3,724507#0,7787172#0,3124045#3,690762#0,8460491#0,245494#3,658533#0,7206973#0,2336558#3,715571#0,8549591#-0,2179388#3,554076#0,5202599#-0,1448541#3,710964#0,8947431#-0,5710942#3,669264#0,4973061#-0,5307161#3,657349#0,8642028#-0,6427391#3,669255#0,5293022#-0,6012697#3,665356#1  
