frame12 #0,3703387#0,9654094#3,650388#0,4946134#0,7722283#3,60437# 0,7116553#0,5033224#3,609508#0,4874116#0,0915055#3,365359#0,7143272#0,4439853#3,532481#0,4872224#0,1610323#3,347062#0,5718467#0,4185753#3,297127#0,4449824#0,3701697#3,267401#0,4957656#0,6186877#3,454236#0,3635062#0,5793463#3,400551#0,5272394#0,2654121#3,552578#0,5546161#0,1834407#3,477423#0,5869045#0,1766447#3,452983#0,5282099#0,12135#3,485979#0,6541094#-0,2097329#3,410231#0,5494348#-0,2847283#3,514737#0,8505698#-0,5489511#3,499966#0,4645711#-0,576182#3,479188#0,8293719#-0,6396002#3,485204#0,4335865#-0,6361526#3,432846#1  
frame13 #0,385264#0,957275#3,631519#0,5129982#0,7670746#3,591496# 0,7546701#0,5071648#3,573898#0,4951682#0,0878761#3,360359#0,7573417#0,4478375#3,496883#0,4949791#0,1573915#3,342065#0,6405496#0,4462181#3,248826#0,4527391#0,3665289#3,262403#0,5347395#0,6054212#3,429416#0,3819081#0,5742289#3,387599#0,5427576#0,2637054#3,554191#0,5655091#0,1800028#3,478366#0,6140511#0,1503937#3,448198#0,5345081#0,1245508#3,489709#0,6753245#-0,2884234#3,42105#0,5206894#-0,2645009#3,602203#0,8715997#-0,5816106#3,514706#0,4670126#-0,5629827#3,479768#0,8287098#-0,6427779#3,485181#0,4869046#-0,6061432#3,398082#1  
frame14 #0,4008751#0,9482651#3,621902#0,5375643#0,7656353#3,586418# 0,5444331#0,2049861#3,35486#0,521216#0,08501595#3,35503#0,578418#0,2648275#3,326531#0,5210273#0,1543754#3,336777#0,680373#0,4443515#3,258246#0,4787873#0,3635128#3,257102#0,5672399#0,5987957#3,414205#0,4064466#0,5728082#3,382512#0,5594744#0,2685636#3,565048#0,5776514#0,1840154#3,491678#0,6188444#0,1492177#3,45142#0,5463793#0,132187#3,520079#0,6765809#-0,2874093#3,419931#0,52165#-0,2649119#3,604757#0,8762577#-0,5822118#3,521607#0,4497942#-0,5452825#3,486546#0,8317655#-0,6403629#3,488316#0,4645014#-0,5880013#3,404467#1  
frame15 #0,4458218#0,9581324#3,611095#0,5649268#0,7648913#3,581272# 0,6008502#0,2189423#3,349606#0,5478025#0,08405095#3,350096#0,632758#0,276746#3,32474#0,5476143#0,1532622#3,331882#0,7284817#0,4501571#3,266816#0,5053743#0,3623995#3,252177#0,6002034#0,6017023#3,407829#0,43382#0,5720689#3,37736#0,5859085#0,2825801#3,564168#0,6013262#0,2007646#3,491261#0,6475003#0,1560067#3,434451#0,5599349#0,1365055#3,525473#0,6862614#-0,2856317#3,417974#0,5246645#-0,2831851#3,608265#0,8779299#-0,5817104#3,521105#0,4482584#-0,558565#3,482955#0,8329451#-0,6401818#3,489621#0,4614775#-0,6010239#3,40119#1  
frame16 #0,4550858#0,9443605#3,613697#0,5837073#0,7570813#3,568416# 0,6436419#0,2349839#3,345879#0,5668954#0,07620448#3,337205#0,6808253#0,289535#3,321559#0,5667075#0,1452909#3,319024#0,7923754#0,4531886#3,265231#0,5244675#0,3544283#3,239278#0,6380634#0,599062#3,403849#0,4525958#0,564261#3,364504#0,6012947#0,2895637#3,563087#0,6194285#0,209569#3,492496#0,6681014#0,1624674#3,434425#0,5779973#0,1395705#3,529809#0,7124293#-0,2742442#3,417849#0,5292908#-0,292772#3,605245#0,8789502#-0,5809317#3,52027#0,4539708#-0,5678222#3,483479#0,8384413#-0,6436985#3,497079#0,4695207#-0,6097524#3,403052#1  
frame17 #0,4765739#0,9396077#3,609142#0,6025133#0,7517438#3,568072# 0,6564805#0,2207934#3,292093#0,5856196#0,07113257#3,337433#0,7010537#0,2748257#3,288416#0,5854323#0,1399735#3,319317#0,8347732#0,4369227#3,293822#0,5431923#0,3491108#3,239373#0,6819938#0,5956883#3,397013#0,4714025#0,5589232#3,364158#0,6272588#0,3034498#3,56076#0,6422583#0,229184#3,489564#0,6903151#0,1733822#3,426215#0,5979774#0,1491682#3,528834#0,7224145#-0,2703954#3,422611#0,5330405#-0,2929804#3,604194#0,8802449#-0,5821863#3,519437#0,4588129#-0,5669503#3,483036#0,8426968#-0,6452188#3,495332#0,4696394#-0,6084279#3,40293#1  
frame18 #0,5115662#0,9459812#3,590616#0,625246#0,7516215#3,562459# 0,6130036#0,175603#3,270647#0,608366#0,07100335#3,331892#0,6740437#0,2414533#3,275688#0,6081787#0,1398471#3,313775#0,8571639#0,4390043#3,30723#0,5659387#0,3489845#3,233815#0,6967702#0,6016169#3,398309#0,4941351#0,558801#3,358546#0,6444701#0,3251089#3,56453#0,6606477#0,2544435#3,496232#0,7061114#0,187338#3,429508#0,6205817#0,1741474#3,538967#0,7415129#-0,274749#3,420453#0,5394331#-0,2920978#3,600936#0,8821105#-0,5828781#3,520168#0,4719945#-0,5639638#3,474673#0,846702#-0,6460387#3,494661#0,4856786#-0,6051534#3,395468#1  
frame19 #0,5315016#0,9415562#3,584847#0,6497771#0,7495872#3,552014# 0,6396481#0,1836816#3,286309#0,632895#0,06892654#3,321626#0,7069014#0,2496463#3,294395#0,6327076#0,1378118#3,303498#0,9086612#0,4475404#3,335021#0,5904676#0,3469492#3,223484#0,7347871#0,6092344#3,404912#0,5186663#0,5567667#3,3481#0,6652406#0,3322379#3,553724#0,6839483#0,2623731#3,486229#0,7478163#0,1968422#3,403058#0,6368577#0,1726578#3,536327#0,7510343#-0,2690462#3,427406#0,5497112#-0,2779067#3,597751#0,8842956#-0,5819327#3,516964#0,4865988#-0,5535051#3,484097#0,846843#-0,6449724#3,496496#0,5048805#-0,5942406#3,406456#1  
frame20 #0,561617#0,954043#3,584347#0,6706485#0,757045#3,543092# 0,776475#0,2536032#3,295924#0,6537685#0,07658464#3,312731#0,8213928#0,3060865#3,306216#0,6535816#0,1452694#3,294656#0,9561462#0,4635363#3,353427#0,6113417#0,3544068#3,214615#0,7617749#0,6142663#3,410416#0,5395375#0,5642245#3,339179#0,6707428#0,3396096#3,554827#0,6920296#0,2676231#3,489541#0,7505536#0,1984564#3,412308#0,6467063#0,1787614#3,539446#0,7684311#-0,2634156#3,426065#0,5552239#-0,2701624#3,597397#0,8848151#-0,5788813#3,513649#0,5008889#-0,5527341#3,487847#0,8507749#-0,6445755#3,499501#0,5239549#-0,5930433#3,412367#1  
frame21 #0,5868271#0,9595796#3,585915#0,6823629#0,7557381#3,541276# 0,8486161#0,2421203#3,316875#0,6654829#0,07526564#3,311088#0,8823383#0,302576#3,325319#0,665296#0,1439622#3,29301#0,9835051#0,4839431#3,366933#0,6230561#0,3530996#3,212912#0,7873976#0,616492#3,414337#0,551252#0,5629176#3,337363#0,6889137#0,3593402#3,558037#0,711782#0,2936855#3,495203#0,7648077#0,2116169#3,416554#0,6619253#0,198539#3,547889#0,7813936#-0,2572364#3,423063#0,5578369#-0,2676075#3,594531#0,8871604#-0,5773287#3,510995#0,5017956#-0,5733593#3,48054#0,849856#-0,6423404#3,499552#0,5254139#-0,6139348#3,404691#1  
