frame1 #-0,05457202#1,094261#3,976543#-0,04005237#0,8739263#3,831478# 0,03222224#0,4891693#3,214118#-0,8298691#0,4983478#3,874856#0,06282926#0,4821021#3,293343#-0,7293835#0,4952101#3,846865#0,1546503#0,4609003#3,547353#-0,4944324#0,5679933#3,793404#0,05973438#0,6826965#3,664079#-0,1903835#0,6999957#3,726535#-0,04323786#0,4172393#3,790255#-0,05980546#0,34337#3,717367#-0,005632795#0,2829691#3,689035#-0,1181858#0,2907537#3,717913#0,1245314#-0,2058493#3,656006#-0,2587836#-0,189103#3,660298#0,2820892#-0,5582998#3,645651#-0,388348#-0,5643605#3,621802#0,2588645#-0,6103724#3,547589#-0,4514255#-0,6317201#3,649738#1  
frame12 #-0,1042338#1,08024#3,937596#-0,0294269#0,8649988#3,817818# 0,1503997#0,7532111#3,351201#-0,8316549#0,5030754#3,864674#0,1514501#0,6824219#3,395417#-0,7402705#0,5031104#3,851518#0,1546015#0,4700545#3,544168#-0,4922337#0,5672557#3,784005#0,05828084#0,6836693#3,664074#-0,1924251#0,6952944#3,723407#-0,04208121#0,4189017#3,785632#-0,059523#0,3463944#3,713807#-0,005360505#0,2875552#3,686297#-0,1199687#0,2911272#3,713248#0,1417361#-0,25994#3,657226#-0,2609577#-0,1981119#3,659901#0,2844482#-0,5741204#3,649013#-0,3353108#-0,5483202#3,611467#0,2638471#-0,6215552#3,559296#-0,4246435#-0,6176809#3,64876#1  
frame13 #-0,1277523#1,078374#3,905362#-0,03018621#0,8634261#3,81561# 0,08409803#0,7950868#3,517204#-0,8310691#0,5029585#3,864416#0,1012958#0,7135165#3,520407#-0,7432616#0,5040847#3,857857#0,152889#0,4688057#3,546119#-0,4922072#0,5662897#3,777206#0,0572281#0,6835688#3,663537#-0,1931195#0,6946033#3,723227#-0,04220789#0,4185383#3,785#-0,05975341#0,3460114#3,713531#-0,005739034#0,2875077#3,68617#-0,1200069#0,2905323#3,713175#0,1417991#-0,2601111#3,656794#-0,2609172#-0,1984159#3,659905#0,2848905#-0,5734344#3,649146#-0,3914757#-0,5737756#3,627043#0,2638648#-0,6212909#3,558597#-0,4452766#-0,6370746#3,658612#1  
frame14 #-0,06412683#1,100635#3,925298#-0,02772518#0,8681675#3,829227# 0,08371475#0,8000794#3,515651#-0,8306095#0,5028667#3,864218#0,1008588#0,7185627#3,519698#-0,7439129#0,5043449#3,858927#0,1522909#0,4740126#3,547945#-0,4923985#0,5661084#3,7768#0,05251643#0,6868117#3,665343#-0,1930436#0,6941761#3,723187#-0,04218683#0,4170314#3,785055#-0,0597462#0,3456485#3,713619#-0,006132353#0,2878202#3,686306#-0,1196887#0,2902767#3,713182#0,1217209#-0,2027584#3,653821#-0,2617581#-0,1996002#3,659935#0,2851083#-0,571303#3,648341#-0,3915201#-0,5736879#3,629031#0,2351038#-0,6258521#3,597963#-0,4473605#-0,6375554#3,657609#1  
frame15 #-0,07294583#1,097029#3,936845#-0,02950118#0,8683027#3,829098# 0,08809842#0,7680304#3,406944#-0,8302381#0,5027926#3,864043#0,1042551#0,6920245#3,437436#-0,743885#0,5043456#3,858902#0,152725#0,464007#3,545014#-0,4923694#0,5661513#3,77686#0,05212216#0,6870371#3,665333#-0,1934675#0,69352#3,722888#-0,04223601#0,4170305#3,785001#-0,05974385#0,3454627#3,713485#-0,006113301#0,2878363#3,686168#-0,1196045#0,2900856#3,71309#0,1216575#-0,202122#3,653582#-0,2618854#-0,199818#3,659874#0,2865999#-0,5696983#3,648893#-0,390501#-0,5731662#3,628003#0,2357079#-0,6246281#3,598925#-0,4480542#-0,6364605#3,656031#1  
frame16 #-0,07122464#1,095728#3,944412#-0,03052107#0,8697106#3,82803# 0,08299308#0,7733222#3,418036#-0,8299311#0,5027313#3,863912#0,1005115#0,6962191#3,444975#-0,7446205#0,5045046#3,859867#0,1530668#0,4649099#3,541895#-0,4922143#0,5662125#3,77691#0,05210914#0,6864445#3,664488#-0,193416#0,6935749#3,722989#-0,04211256#0,417136#3,784858#-0,05980632#0,3451747#3,713233#-0,006170231#0,2878149#3,686037#-0,1195651#0,2898288#3,712913#0,1381193#-0,2543157#3,652074#-0,2623807#-0,1994437#3,660069#0,2865572#-0,5697974#3,649034#-0,3906148#-0,5717413#3,629779#0,2462226#-0,6384246#3,606805#-0,4463027#-0,6358008#3,66003#1  
frame17 #-0,1221844#1,076418#3,954777#-0,03093428#0,8694561#3,826971# 0,08542232#0,773649#3,415467#-0,8298202#0,502636#3,863874#0,102391#0,696515#3,442919#-0,755039#0,5130408#3,875409#0,1532972#0,4651129#3,541373#-0,4921248#0,5662438#3,777379#0,04970808#0,688291#3,666693#-0,193294#0,6937977#3,723012#-0,04259321#0,4172146#3,784705#-0,06007263#0,3451267#3,71301#-0,007061638#0,2885743#3,685671#-0,1195823#0,2898358#3,712858#0,122761#-0,2050854#3,651782#-0,262841#-0,1994605#3,660622#0,2861789#-0,5682113#3,647358#-0,3911563#-0,572272#3,629781#0,2622527#-0,6508283#3,6191#-0,4462284#-0,6370229#3,660941#1  
frame18 #-0,1251192#1,072965#3,95683#-0,03010219#0,8686309#3,826581# 0,07479692#0,7777836#3,421121#-0,8297619#0,5025703#3,863736#0,0951823#0,7006544#3,446328#-0,7546697#0,5118992#3,873272#0,1563385#0,4692667#3,538042#-0,4916171#0,5673649#3,780197#0,04989262#0,6863966#3,666247#-0,1929065#0,6936409#3,722604#-0,04275123#0,4167468#3,784583#-0,06032141#0,3445016#3,712821#-0,007265613#0,2885171#3,685642#-0,1198531#0,2890954#3,712611#0,1231166#-0,2050765#3,652717#-0,2669111#-0,199853#3,664648#0,2796772#-0,5647534#3,644239#-0,388092#-0,5692617#3,627375#0,2677365#-0,651198#3,618998#-0,4443684#-0,6347355#3,655633#1  
frame19 #-0,1345061#1,065323#3,949337#-0,03077386#0,8631519#3,823724# 0,05671523#0,7725801#3,420658#-0,8293712#0,5025563#3,863669#0,08120377#0,6965418#3,445732#-0,7455704#0,5021224#3,856156#0,1546694#0,4684269#3,53705#-0,4937977#0,5653073#3,784393#0,04985232#0,6837874#3,668145#-0,1933645#0,6927132#3,723513#-0,04427819#0,4152195#3,783178#-0,06169497#0,34325#3,711302#-0,008747702#0,2876661#3,684507#-0,1212797#0,2878252#3,710672#0,1245962#-0,2041505#3,653847#-0,2717683#-0,1972286#3,670425#0,2828658#-0,570596#3,649528#-0,3931154#-0,5720932#3,630346#0,2665055#-0,65566#3,621026#-0,4479903#-0,6343021#3,668223#1  
frame20 #-0,1377741#1,045938#3,988126#-0,03249285#0,8627703#3,826087# -0,1502112#0,425449#3,384429#-0,8429728#0,4972545#3,868443#-0,07369262#0,4355516#3,416669#-0,7669123#0,5017803#3,883421#0,1558633#0,4658592#3,529486#-0,4954236#0,5636075#3,7852#0,05024085#0,6684412#3,664881#-0,1946259#0,6911571#3,724763#-0,04812289#0,4121867#3,781279#-0,06671815#0,3398839#3,708028#-0,0134018#0,2842659#3,681087#-0,1280425#0,2838918#3,705512#0,1344191#-0,2081088#3,667152#-0,2824132#-0,2022183#3,683139#0,2514484#-0,5446668#3,636645#-0,3946268#-0,5696602#3,630719#0,2310041#-0,5934072#3,545203#-0,4465297#-0,6332639#3,667056#1  
frame21 #-0,1269905#1,059111#3,981981#-0,03647416#0,8608795#3,835# -0,1593014#0,5490263#3,505779#-0,8444723#0,4984104#3,86869#-0,07885541#0,5260313#3,505897#-0,7688606#0,5010598#3,882805#0,1624826#0,4570465#3,522361#-0,4925017#0,5590822#3,787251#0,063944#0,6614828#3,661216#-0,1917701#0,6865699#3,725968#-0,05035601#0,4093249#3,779778#-0,06938615#0,3378836#3,705421#-0,01552086#0,2812454#3,677507#-0,1321729#0,2812895#3,700752#0,1451096#-0,2083447#3,678469#-0,3076059#-0,2049158#3,701221#0,2571656#-0,5488735#3,641362#-0,3961709#-0,5624785#3,634928#0,2366547#-0,5971481#3,551836#-0,4413722#-0,6339501#3,659972#1  
