frame1 #-0,1612938#1,042719#3,836231#-0,003769625#0,8851605#3,755281# 0,2326627#0,3025194#3,528884#-0,6729072#0,4847995#3,7264#0,1976935#0,3409913#3,565861#-0,5907954#0,4836773#3,699816#0,2654347#0,5263427#3,525873#-0,3260823#0,5298686#3,646228#0,1076426#0,704793#3,608786#-0,1514294#0,6881166#3,636563#-0,002852725#0,4252694#3,728471#-0,01123999#0,3486123#3,656378#0,0462545#0,295142#3,640296#-0,07032789#0,2876376#3,647866#0,1604317#-0,1862789#3,627482#-0,1678219#-0,1694908#3,601685#0,2961498#-0,53469#3,613335#-0,2754733#-0,5530942#3,572895#0,2849273#-0,5830826#3,519758#-0,2866958#-0,6014868#3,479317#1  
frame2 #-0,02212099#1,079376#3,917879#-0,002943965#0,8866589#3,757041# 0,2535596#0,3017624#3,532548#-0,6719226#0,4948702#3,727172#0,2151561#0,3376867#3,568037#-0,5911899#0,5126311#3,704062#0,259508#0,5306879#3,523396#-0,3501535#0,5692071#3,655681#0,08584334#0,7044896#3,61726#-0,1514594#0,6878626#3,637349#-0,003922686#0,4212054#3,72797#-0,01131363#0,3419849#3,654481#0,04390686#0,2920824#3,638567#-0,06847237#0,284517#3,647611#0,160597#-0,1864287#3,628989#-0,1687032#-0,1731444#3,601476#0,2832445#-0,5263975#3,605703#-0,2883473#-0,5681794#3,58368#0,2741348#-0,5744748#3,512564#-0,297457#-0,6162567#3,490541#1  
frame3 #-0,1369421#1,058287#3,870052#-0,003303457#0,8865004#3,757228# 0,1932612#0,325188#3,62936#-0,677282#0,4903454#3,731685#0,2062398#0,3857211#3,601299#-0,5871446#0,4833049#3,703555#0,2451757#0,5673202#3,533718#-0,3260215#0,5297827#3,644219#0,07962363#0,710668#3,619591#-0,1516091#0,6874793#3,637559#-0,004259856#0,4196407#3,726105#-0,01154245#0,3408065#3,652231#0,04223242#0,2928203#3,635569#-0,06716882#0,2831241#3,645229#0,1611283#-0,185879#3,629606#-0,1704418#-0,1743337#3,600583#0,2778832#-0,5244712#3,60192#-0,28828#-0,5685048#3,581332#0,2696732#-0,5677866#3,51807#-0,29649#-0,6118201#3,497482#1  
frame4 #0,005010967#1,066795#3,936591#-0,002443342#0,8814638#3,759315# 0,2499628#0,3000789#3,524722#-0,7111682#0,4784017#3,735321#0,1996533#0,3369413#3,557064#-0,5896754#0,4811487#3,705124#0,2640791#0,523068#3,515733#-0,3266481#0,5277371#3,645559#0,0986857#0,7043379#3,619362#-0,1524764#0,6848522#3,641048#-0,00384882#0,4180875#3,725483#-0,01144207#0,3402706#3,651596#0,04354966#0,2906281#3,63402#-0,06836212#0,2805547#3,642585#0,1649485#-0,1896535#3,637288#-0,1723817#-0,1716636#3,599025#0,2758632#-0,5262636#3,599115#-0,2861035#-0,5639806#3,579915#0,267627#-0,5679795#3,518521#-0,2943397#-0,6056964#3,499321#1  
frame5 #-0,005038948#1,054964#3,912206#0,003736624#0,8573092#3,75542# 0,1713151#0,2727965#3,5613#-0,7057778#0,4790723#3,738062#0,1972471#0,3343574#3,546203#-0,5865571#0,4746014#3,709789#0,2750434#0,5190399#3,517472#-0,323766#0,5231921#3,649895#0,1221835#0,6984173#3,628744#-0,141366#0,6704153#3,653502#0,006802108#0,4102039#3,719527#-0,0009139236#0,3360081#3,64556#0,06170585#0,2830666#3,620386#-0,0593327#0,2727194#3,638837#0,2089757#-0,2439312#3,684939#-0,1775622#-0,1566517#3,596024#0,2884201#-0,5510933#3,595093#-0,2889452#-0,568058#3,58493#0,2792794#-0,5912313#3,517935#-0,2980859#-0,608196#3,507771#1  
frame6 #0,04362236#0,9573526#3,860999#0,1699819#0,7839648#3,78004# 0,5305583#0,2510906#3,524154#-0,5007508#0,4672969#3,725706#0,5020456#0,3034414#3,549705#-0,4159753#0,4468102#3,716061#0,5365092#0,5101895#3,572901#-0,15098#0,4711077#3,669982#0,3584046#0,6288072#3,681919#0,09619219#0,5990367#3,644247#0,2158855#0,3054983#3,688844#0,2302274#0,2346543#3,60654#0,2946448#0,1835753#3,602124#0,1766492#0,1701786#3,570755#0,3166016#-0,2015311#3,704338#-0,0270663#-0,2383177#3,582951#0,3037943#-0,5081754#3,633124#-0,1276859#-0,6014074#3,495793#0,3129921#-0,5510746#3,555733#-0,2254706#-0,6284194#3,509027#1  
frame7 #0,09239581#0,9109963#3,788864#0,234419#0,7479478#3,741916# 0,6275446#0,2400858#3,637497#-0,3720025#0,4385018#3,669138#0,6233381#0,3032541#3,643301#-0,3010779#0,4212152#3,631826#0,6614745#0,5071602#3,66679#-0,07867423#0,4272295#3,579961#0,4774201#0,6025522#3,707382#0,1401495#0,5638713#3,593202#0,2873464#0,3239543#3,683181#0,3172684#0,2620146#3,610202#0,4060787#0,1949129#3,611869#0,254307#0,1775065#3,562809#0,3354057#-0,2040727#3,691183#0,1506003#-0,2051223#3,580477#0,3955331#-0,5891208#3,497621#0,2933695#-0,6050516#3,526709#0,3227557#-0,6345314#3,458602#0,3176508#-0,6469687#3,452185#1  
frame8 #0,1513803#0,9222179#3,743521#0,2572754#0,7366351#3,725474# 0,6518601#0,26428#3,813032#-0,2779741#0,4084784#3,591774#0,652589#0,3253906#3,782491#-0,2070495#0,3911918#3,554462#0,6547757#0,5087224#3,705463#-0,005721134#0,4363357#3,535415#0,4733012#0,6067553#3,70709#0,164212#0,5515577#3,569203#0,3075763#0,3193431#3,678512#0,3426663#0,2570744#3,609509#0,4208998#0,1901862#3,615874#0,2954375#0,1810647#3,562214#0,2763155#-0,2385606#3,569767#0,2797342#-0,2396473#3,566741#0,5646069#-0,5531275#3,530122#0,3141013#-0,5570145#3,619861#0,531027#-0,6400117#3,497827#0,3439521#-0,5974389#3,548458#1  
frame9 #0,2377789#0,9336467#3,719906#0,3205992#0,7348667#3,693368# -0,03151421#0,3758267#3,382568#-0,1781625#0,3270195#3,488966#0,06151274#0,3907055#3,45616#-0,117277#0,3251773#3,461077#0,3148654#0,4945162#3,51428#0,050801#0,4379339#3,507701#0,522011#0,6163255#3,681288#0,2252917#0,5508237#3,537312#0,3971637#0,3160997#3,669128#0,4383842#0,2518731#3,605588#0,5236864#0,1920227#3,620235#0,3876121#0,1701286#3,560908#0,5118637#-0,2817908#3,544683#0,3483132#-0,2575237#3,742115#0,7827452#-0,5498558#3,660255#0,31791#-0,5583892#3,630335#0,7691583#-0,6120554#3,618682#0,3495966#-0,5979422#3,559831#1  
frame10 #0,2712413#0,932812#3,692711#0,3483162#0,7340146#3,67966# 0,008615769#0,2628237#3,381806#-0,1078964#0,2476808#3,457742#0,07291824#0,2936206#3,380443#-0,03645235#0,2529219#3,43186#0,2658256#0,3860115#3,3911#0,07851797#0,4370817#3,493828#0,411015#0,5897396#3,541162#0,2530087#0,5499715#3,523603#0,4393506#0,3308138#3,68962#0,465261#0,2619604#3,628638#0,5184647#0,1998464#3,577817#0,4517212#0,2027307#3,674637#0,5595901#-0,278706#3,582259#0,3606056#-0,2567954#3,745265#0,7821391#-0,5507264#3,657428#0,3143187#-0,5504179#3,626187#0,7883798#-0,5900896#3,580767#0,3205595#-0,589781#3,549525#1  
frame11 #0,3308591#0,9261513#3,663282#0,4134801#0,7324857#3,662716# 0,1455299#0,2207628#3,387107#0,145175#0,1314208#3,360518#0,2063603#0,2356756#3,378308#0,1448017#0,2074538#3,38585#0,4042888#0,3342858#3,390471#0,1436819#0,4355528#3,476691#0,4677871#0,5738876#3,505879#0,3181726#0,5484426#3,50666#0,4962067#0,2752027#3,69457#0,511583#0,1885501#3,63712#0,5646228#0,1412275#3,562547#0,4815273#0,108435#3,702219#0,6390259#-0,2898686#3,563574#0,400891#-0,2833931#3,721786#0,8276271#-0,5823995#3,668343#0,3121808#-0,5661755#3,604986#0,7982388#-0,6475583#3,648666#0,3112428#-0,6069585#3,527892#1  
