frame12 #0,1603585#1,053236#3,674649#0,116382#0,8073994#3,551326# 0,0168893#0,1006382#3,262056#0,2762031#0,3903082#3,427665#0,03725#0,211299#3,262429#0,2239207#0,4097246#3,375159#0,1192754#0,4395711#3,200706#0,06707327#0,4679738#3,233356#0,1043568#0,6431815#3,334144#0,05371437#0,6466144#3,39473#0,1037641#0,3576647#3,483509#0,05059889#0,2847183#3,433148#0,04592466#0,2521015#3,453307#0,02166068#0,2544677#3,393426#-0,04108303#-0,3007645#3,863682#0,1095884#-0,2649482#3,366126#0,05424466#-0,5499014#3,395267#0,002850369#-0,6281099#3,321335#-0,0271383#-0,6019739#3,329965#0,0875213#-0,6734083#3,296754#1  
frame13 #0,1606582#1,044204#3,668592#0,1086119#0,7962692#3,557524# 0,01179202#0,1202079#3,259828#0,2955859#0,3643063#3,465625#0,03146914#0,2007687#3,26808#0,228781#0,3892589#3,402279#0,1105397#0,4287637#3,206237#0,02836623#0,4641165#3,228031#0,09620894#0,6320313#3,340876#0,04584974#0,6386071#3,397492#0,03081536#0,3885296#3,537725#-0,0287667#0,3294539#3,493936#-0,04026807#0,2560853#3,544047#-0,05884133#0,2574702#3,417051#-0,04117906#-0,3116474#3,85996#0,1081368#-0,2641089#3,362763#0,05425539#-0,5580517#3,386607#0,002935775#-0,6299523#3,320015#0,01543493#-0,6412288#3,293559#0,08949757#-0,6732324#3,296612#1  
frame14 #0,1555725#1,028626#3,670639#0,103374#0,779833#3,56392# 0,009404417#0,1035776#3,257379#0,2542988#0,3288104#3,465514#0,0268176#0,1837611#3,27458#0,190548#0,3614283#3,403548#0,1048894#0,4126595#3,212198#-0,0007045832#0,459282#3,233497#0,09093061#0,615829#3,347417#0,04511233#0,6307762#3,397442#0,03357554#0,4020474#3,545194#-0,0206567#0,3534633#3,501381#-0,04170395#0,2541662#3,573329#-0,05711499#0,2539356#3,393218#-0,0433808#-0,3118499#3,854391#0,1072501#-0,2648842#3,361012#-0,05588212#-0,5036945#3,761509#0,005196452#-0,6208524#3,317348#-0,01286539#-0,5448007#3,640257#-0,06835227#-0,6755549#3,243917#1  
frame15 #0,1962307#1,005227#3,673671#0,1014948#0,7715169#3,566393# -0,0417982#0,0889947#3,266879#0,1823302#0,3543537#3,342232#-0,02727778#0,1684004#3,285006#0,1229927#0,3776585#3,314044#0,1028636#0,4043365#3,214612#-0,05501966#0,4475729#3,245331#0,08902434#0,6075269#3,349949#0,04315797#0,6219815#3,403011#0,09606918#0,3806411#3,523341#0,04955041#0,3206286#3,473884#0,04777292#0,2199731#3,54483#0,02992078#0,2307031#3,354479#0,1728592#-0,2847896#3,776342#0,1061484#-0,2743524#3,358141#-0,06639355#-0,595118#3,744961#0,007785253#-0,628234#3,319033#-0,02194301#-0,6107742#3,618998#-0,06975585#-0,6805686#3,248852#1  
frame16 #0,1984404#0,9909435#3,683665#0,1046213#0,7588987#3,581087# -0,07786957#0,1001911#3,269984#0,1931314#0,2891024#3,414839#-0,06342813#0,1791649#3,288013#0,126183#0,3278155#3,375704#0,105856#0,3917701#3,229568#-0,07466191#0,4439548#3,273958#0,09213215#0,5949131#3,36471#0,03708736#0,6142213#3,413357#0,09437585#0,3544961#3,533959#0,0540986#0,2878647#3,477664#0,05648025#0,1967744#3,537557#0,03153296#0,2165839#3,36966#-0,05181727#-0,3322349#3,821733#0,1073453#-0,2853361#3,357547#-0,08628273#-0,5014271#3,744159#0,006144698#-0,6184558#3,318513#-0,04016211#-0,5409686#3,62543#0,09117213#-0,6667926#3,306214#1  
frame17 #0,2257359#0,966425#3,712018#0,1060093#0,7538927#3,595318# -0,07934117#0,09763771#3,277179#0,189824#0,2939071#3,392787#-0,06503299#0,1758828#3,295041#0,1161237#0,3364516#3,366643#0,1072118#0,38674#3,24378#-0,1049772#0,4640851#3,303893#0,09351127#0,5899208#3,378947#0,02975901#0,6127257#3,431101#0,08975234#0,352432#3,540921#0,05089239#0,2887406#3,482388#0,05459154#0,1980414#3,539843#0,0249818#0,2183753#3,380591#-0,05373205#-0,3290776#3,809328#0,1040536#-0,2800869#3,357334#-0,09443434#-0,5082442#3,741842#0,006209246#-0,6193939#3,3177#-0,04711825#-0,5458014#3,624189#0,09087183#-0,6666999#3,305438#1  
frame18 #0,2127149#0,967277#3,728095#0,1054633#0,7555445#3,598512# -0,07978982#0,1009686#3,28096#0,1941333#0,2979155#3,397294#-0,06556#0,1787851#3,298724#0,116097#0,3389488#3,373772#0,1066575#0,3883882#3,247291#-0,1180118#0,4620489#3,318728#0,09296279#0,5915771#3,382145#0,02308462#0,61439#3,446225#0,09036005#0,3626929#3,550425#0,04726971#0,3026969#3,49584#0,05054634#0,1982155#3,554734#0,02271509#0,2204835#3,382277#-0,05649115#-0,3231961#3,791646#0,1013419#-0,2745563#3,360648#-0,09589075#-0,5087205#3,740339#0,006294048#-0,6197787#3,31755#-0,04923651#-0,545361#3,623139#0,09107568#-0,6658942#3,306966#1  
frame19 #0,1951987#0,9881265#3,757642#0,1114628#0,7637033#3,649219# -0,01854351#0,1586043#3,357894#0,1794389#0,2885741#3,414631#0,01366139#0,2322695#3,356714#0,1009835#0,3363749#3,402982#0,1126366#0,3965394#3,298562#-0,1343825#0,4797772#3,383265#0,09895749#0,5997427#3,432853#0,01853706#0,6270199#3,485052#0,0756342#0,3533156#3,576792#0,0391543#0,2930799#3,509636#0,04368275#0,1959939#3,558401#0,01378908#0,2266234#3,410359#-0,06593122#-0,3131287#3,767163#0,09033088#-0,2661273#3,372605#-0,1028988#-0,5092732#3,73619#0,007036443#-0,6210409#3,314187#-0,05638155#-0,5460303#3,620769#0,09206416#-0,6647784#3,306735#1  
frame20 #0,1536105#0,9997728#3,822448#0,1015342#0,7690212#3,716887# -0,09595452#0,1112609#3,384789#0,1837232#0,2809255#3,458493#-0,06402213#0,1843027#3,383619#0,1075877#0,3306193#3,444388#0,102708#0,4018573#3,36631#-0,1208185#0,4797009#3,417266#0,08902889#0,6050606#3,500521#0,01631345#0,629919#3,520107#0,05762281#0,3432441#3,621515#0,04028317#0,2832642#3,546252#0,04586839#0,193904#3,605596#0,01707829#0,2335241#3,440918#-0,06575446#-0,3152753#3,769079#0,09407905#-0,2680084#3,387242#-0,08620366#-0,6051307#3,733792#0,01130444#-0,6200084#3,304759#-0,06930718#-0,62557#3,608333#0,09402063#-0,6662735#3,305601#1  
frame21 #0,1564245#1,002364#3,831933#0,09200294#0,7753884#3,730988# -0,100397#0,1150571#3,397901#0,2201281#0,3724962#3,52733#-0,06856844#0,1878615#3,396735#0,1372353#0,3980554#3,497571#0,09317668#0,4082246#3,380667#-0,1114428#0,4747329#3,423357#0,07949758#0,6114278#3,514622#0,01267665#0,6288567#3,534839#0,03427266#0,2650764#3,595677#0,01236095#0,1881883#3,50975#0,02444876#0,1600452#3,512792#-0,003197469#0,1884424#3,495121#-0,06606552#-0,3142983#3,769077#0,09718422#-0,2857219#3,386959#-0,08720704#-0,6052737#3,734111#0,01292091#-0,6173558#3,290627#-0,07041421#-0,6196545#3,608506#0,09327951#-0,6654161#3,301522#1  
frame22 #-0,04620562#0,8813378#3,988851#-0,08005814#0,6883651#3,832037# 0,5686366#0,6419858#3,834509#-0,1706934#0,3755222#3,71912#0,5023376#0,6439455#3,842129#-0,2179143#0,3909614#3,674519#0,3034405#0,6498247#3,879194#-0,3595773#0,4372789#3,55492#0,109955#0,5996966#3,724095#-0,2236459#0,5486904#3,678864#-0,03587107#0,2959243#3,68219#-0,02798868#0,2478766#3,599465#0,04351247#0,1805336#3,548129#-0,08247919#0,17853#3,575016#-0,1001527#-0,3509991#3,794526#0,04067463#-0,2845489#3,26347#-0,1367091#-0,5347937#3,757583#-0,0576128#-0,6139348#3,007142#-0,1291687#-0,5527853#3,636971#0,001807008#-0,670655#2,969628#1  
frame23 #-0,06935266#0,8998448#3,999608#-0,09408161#0,7047127#3,843642# 0,2481236#0,7666573#4,045337#-0,2702389#0,2982268#3,753646#0,3099782#0,730765#4,023064#-0,2803278#0,3309575#3,69624#0,2736713#0,6163132#3,876711#-0,3105944#0,4291497#3,538291#0,1225846#0,5870691#3,742365#-0,1207648#0,5730339#3,696203#-0,03293763#0,2784832#3,668397#-0,00745445#0,2172884#3,574413#0,04863061#0,1713129#3,546293#-0,05278807#0,1753231#3,549643#-0,1098508#-0,3602806#3,800166#0,03347405#-0,2842551#3,254498#-0,1399246#-0,5347956#3,762756#-0,05353304#-0,6115546#3,001452#-0,1311974#-0,5531945#3,642185#0,004719354#-0,6694505#2,963727#1  
frame24 #-0,1101538#0,8719602#3,900756#-0,08014499#0,6719511#3,757841# 0,1805497#0,7071906#3,932037#-0,1211825#0,2892587#3,596765#0,2410999#0,6720552#3,910234#-0,1321197#0,3204254#3,53888#0,2049019#0,5579463#3,764268#-0,1649313#0,4139254#3,379395#0,0424305#0,5574468#3,667778#-0,08213176#0,5074322#3,563345#-0,03753883#0,2137578#3,605726#0,001567515#0,1501699#3,528853#0,04403225#0,1164094#3,534462#-0,03137946#0,1231539#3,494921#-0,1118971#-0,3694912#3,802218#0,03523367#-0,2829928#3,243028#-0,1404026#-0,5270757#3,756142#-0,05728489#-0,5953301#2,965661#-0,1295567#-0,5468948#3,636571#0,01604649#-0,6665775#2,944528#1  
