frame12 #0,1373176#0,9784051#3,595875#0,06876947#0,7589948#3,566483# -0,1723557#0,3984652#3,205498#0,1030223#0,3450758#3,421914#-0,1045759#0,3971046#3,212214#0,04980589#0,3697506#3,38727#0,09876321#0,393023#3,247682#-0,1098433#0,4437748#3,298658#0,05666053#0,6170993#3,369295#-0,002792184#0,6187738#3,422272#0,07408952#0,3909025#3,558718#0,03306994#0,3278708#3,513923#0,03244025#0,2174646#3,593129#0,004324103#0,2320868#3,416504#-0,058035#-0,3854264#3,760272#0,04279178#-0,2679199#3,340292#0,05992797#-0,5464828#3,31215#-0,01997517#-0,6191773#3,313543#0,04425865#-0,6401691#3,258166#0,06143641#-0,6602272#3,287136#1  
frame13 #0,1771183#0,9569975#3,606664#0,07185455#0,75298#3,571869# -0,1692265#0,3898472#3,212185#0,07507171#0,2558568#3,381912#-0,1014617#0,3891422#3,21858#0,06971909#0,3405913#3,39395#0,1018327#0,387027#3,253086#-0,1332626#0,4437195#3,315734#0,05970834#0,6111265#3,374687#-0,005735263#0,6161439#3,42967#0,07382268#0,3843093#3,578508#0,03345043#0,3200288#3,535527#0,03766586#0,2190692#3,615856#0,006350028#0,2218727#3,432753#-0,05638814#-0,3845855#3,821656#0,03500454#-0,2640347#3,337684#0,04854409#-0,530125#3,360261#-0,02176035#-0,618364#3,305152#0,04520327#-0,6103694#3,28652#0,05642387#-0,6590534#3,278875#1  
frame14 #0,1819557#0,9522531#3,608397#0,074014#0,750097#3,577283# -0,1672801#0,386454#3,217667#0,04636476#0,2473091#3,422113#-0,09946342#0,3858779#3,224062#0,04101214#0,3320436#3,434151#0,1039867#0,3841497#3,258551#-0,1669934#0,4447253#3,355015#0,06185573#0,608252#3,380117#-0,0134874#0,6149889#3,455#0,07586625#0,3710317#3,593167#0,03253759#0,3018775#3,55692#0,03947611#0,2186584#3,623579#0,00541807#0,2075022#3,477252#-0,05292947#-0,3756189#3,852852#0,02475904#-0,2639419#3,335703#0,04974568#-0,5198441#3,386645#-0,02097126#-0,6145682#3,299554#0,039805#-0,5976744#3,310427#0,04896071#-0,6569694#3,27445#1  
frame15 #0,1787027#0,9325384#3,611233#0,0828044#0,729836#3,614718# -0,1587414#0,3652879#3,25538#0,03779269#0,250399#3,450718#-0,09086464#0,364941#3,261742#0,03244007#0,3351336#3,462756#0,1127656#0,3639003#3,296088#-0,187319#0,4431297#3,386552#0,07062488#0,5880058#3,417577#-0,01990001#0,6105818#3,460964#0,05832293#0,3497009#3,614478#0,02961784#0,2846047#3,563634#0,0404934#0,2084405#3,626749#0,002192062#0,204385#3,479066#-0,1060883#-0,317527#3,714272#0,02371943#-0,2627056#3,334815#-0,01388607#-0,5969722#3,315335#-0,02199337#-0,6150608#3,299706#-0,0478339#-0,6912013#3,269197#0,04741583#-0,6573009#3,27507#1  
frame16 #0,1873056#0,9353434#3,615481#0,07172056#0,740517#3,605935# -0,1699616#0,3760085#3,246619#0,03119023#0,2547968#3,486012#-0,1020514#0,3756525#3,253004#0,02583761#0,3395313#3,49805#0,1016792#0,3745846#3,287381#-0,1843671#0,430678#3,417026#0,05953763#0,5986907#3,40879#-0,02528163#0,6087404#3,465526#0,0657943#0,3504689#3,612576#0,02979889#0,2820553#3,56696#0,04160746#0,2081373#3,629336#0,003501131#0,2028125#3,488656#-0,1022985#-0,3165372#3,720947#0,02283546#-0,2611154#3,335944#-0,009875499#-0,5966517#3,321205#-0,02240847#-0,6151369#3,299508#-0,05724413#-0,6395401#3,250872#0,04618104#-0,6578275#3,278439#1  
frame17 #0,1828389#0,9439054#3,646957#0,07247802#0,7433208#3,609504# -0,1692124#0,378793#3,250252#0,06319773#0,2743436#3,41381#-0,1013#0,3784418#3,25664#0,0578451#0,3590781#3,425849#0,1024369#0,3773882#3,290998#-0,1797762#0,4343018#3,424869#0,06029536#0,6014944#3,412359#-0,02620679#0,6121389#3,477165#0,06753525#0,34216#3,612467#0,0289056#0,2684624#3,566745#0,04248247#0,2037079#3,623214#0,002850212#0,2016912#3,49348#-0,1026508#-0,3179361#3,715829#0,02322686#-0,2612502#3,33675#-0,007015795#-0,5945122#3,313167#-0,02319289#-0,6148205#3,299119#-0,05773309#-0,6368271#3,24616#0,04614372#-0,6578783#3,278363#1  
frame18 #0,1863931#0,9470115#3,646567#0,07251233#0,7496256#3,626463# -0,1693525#0,3850825#3,267235#0,1557821#0,2865193#3,473695#-0,1013965#0,3847351#3,273628#0,1061057#0,3795737#3,477127#0,1024716#0,3836929#3,307986#-0,1613559#0,4297779#3,44038#0,06033002#0,6077991#3,429319#-0,01774973#0,6219282#3,495917#0,06603247#0,2895342#3,613707#0,02499388#0,2071697#3,563807#0,04212642#0,1860546#3,581914#0,003783316#0,1821563#3,540332#-0,1017439#-0,3180955#3,714367#0,02297118#-0,2624687#3,340387#0,003235027#-0,5851986#3,306365#-0,02313202#-0,6145954#3,298961#-0,05072786#-0,626802#3,243033#0,04554452#-0,6574382#3,276234#1  
frame19 #0,1820687#0,9537417#3,682289#0,07215766#0,7528709#3,629836# -0,169793#0,3883251#3,270613#0,1673149#0,2935063#3,485451#-0,1018155#0,3879783#3,277008#0,1204003#0,3856944#3,488278#0,102117#0,3869381#3,311368#-0,14611#0,43349#3,444387#0,05997543#0,6110442#3,432692#-0,005225001#0,6231122#3,510521#0,06392458#0,2853674#3,604587#0,01296925#0,2016332#3,55962#0,02115514#0,1706341#3,583385#-0,008652518#0,1751387#3,526101#-0,1016737#-0,316757#3,712851#0,02670715#-0,2733311#3,34584#0,005860493#-0,582747#3,303879#-0,02411087#-0,6152753#3,299353#-0,05791685#-0,6233574#3,251215#0,04385748#-0,6571901#3,275713#1  
frame20 #0,1890233#0,9597813#3,700505#0,07343273#0,7626072#3,639692# -0,1682721#0,3980571#3,280474#0,2205965#0,3853294#3,517897#-0,100356#0,3977115#3,286862#0,1559531#0,3815805#3,49622#0,1033922#0,3966745#3,321209#-0,1091022#0,4270025#3,445488#0,06125058#0,6207806#3,442547#0,002073597#0,6201562#3,521825#0,07226894#0,2837457#3,610633#0,02200899#0,196474#3,572061#0,03227121#0,1724883#3,593148#0,007221517#0,1695863#3,547909#-0,09387991#-0,3134301#3,723095#0,03262915#-0,2731804#3,35475#0,02145658#-0,6205208#3,347133#-0,02336747#-0,6200069#3,296218#-0,0468979#-0,6612949#3,299359#0,04311419#-0,6566428#3,27468#1  
frame21 #0,1787928#0,9778303#3,742556#0,06708501#0,7781794#3,692057# -0,1745311#0,4136266#3,33275#0,2392097#0,4051871#3,511837#-0,1066372#0,4132816#3,339135#0,1744305#0,3896243#3,495293#0,09704452#0,4122466#3,373509#-0,05440552#0,4040447#3,448625#0,05490295#0,6363527#3,494912#0,007966837#0,6212789#3,533025#0,06874485#0,2796097#3,627666#0,02555959#0,1946329#3,577009#0,03503016#0,1755296#3,592016#0,01700087#0,1762601#3,569178#-0,08590323#-0,3245961#3,727441#0,0409197#-0,2707339#3,370658#0,03313496#-0,6366472#3,356637#-0,02410879#-0,6148316#3,29826#0,04791462#-0,6493633#3,28102#0,04204154#-0,6561989#3,273784#1  
