frame12 #0,2412621#0,9973274#3,660277#0,1488141#0,8045758#3,640789# 0,108888#0,5585207#3,139703#0,2671397#0,4448355#3,483081#0,1377511#0,525925#3,190681#0,212541#0,4469585#3,444239#0,2243404#0,4281381#3,358536#0,04874503#0,4533276#3,342635#0,1738613#0,6243599#3,457192#0,08739017#0,6580132#3,460987#0,08805214#0,3088071#3,592724#0,07977967#0,2252447#3,521218#0,09533931#0,1882795#3,528697#0,06070146#0,2176935#3,511002#-0,08081479#-0,2429317#3,667456#0,1026558#-0,2465871#3,43724#-0,0716752#-0,5426546#3,799709#0,05382239#-0,5977997#3,387606#-0,0467036#-0,5668206#3,688553#0,1256647#-0,6413963#3,406255#1  
frame13 #0,2333584#1,003718#3,689747#0,149301#0,8062168#3,646986# 0,1099569#0,5595045#3,147486#0,2617556#0,445399#3,470623#0,1386745#0,5270731#3,198207#0,1980143#0,4461853#3,442409#0,2248273#0,4297791#3,365103#0,006790338#0,448544#3,372504#0,1743482#0,6260009#3,463389#0,08494651#0,6549394#3,468827#0,09304805#0,3103228#3,631443#0,08140301#0,2220324#3,564255#0,09873861#0,185457#3,580604#0,05894365#0,2098259#3,534535#-0,07137109#-0,2370978#3,726575#0,09476877#-0,2477877#3,441553#-0,0834071#-0,5121133#3,819277#0,05221299#-0,5972008#3,38689#-0,04185115#-0,5414957#3,714858#0,1244983#-0,6410226#3,40193#1  
frame14 #0,2293246#1,002081#3,695139#0,1459823#0,8054244#3,652453# 0,107416#0,5578338#3,154901#0,2715553#0,4125185#3,53615#0,1359391#0,525622#3,205278#0,2254008#0,4395571#3,504054#0,2215086#0,4289867#3,37095#-0,02035485#0,4616293#3,414173#0,1710294#0,6252085#3,468857#0,0690684#0,6465553#3,500165#0,1069579#0,3228919#3,644892#0,08201778#0,2399974#3,582789#0,0980031#0,1881641#3,621338#0,05861685#0,2104439#3,534603#-0,04513421#-0,2129702#3,652325#0,08969618#-0,2454909#3,446569#-0,07913475#-0,5347918#3,817492#0,05168453#-0,5966283#3,386367#-0,04874388#-0,5589024#3,708607#0,1235444#-0,6410255#3,399183#1  
frame15 #0,2232679#1,004934#3,705469#0,140062#0,8096227#3,677279# 0,1021185#0,5613288#3,180652#0,267917#0,4100606#3,532609#0,130486#0,5292928#3,230754#0,221376#0,4373255#3,500245#0,2155884#0,433185#3,39566#-0,02921866#0,4639952#3,425355#0,1651092#0,6294068#3,493682#0,0658799#0,651735#3,512393#0,1050403#0,328573#3,667351#0,08783723#0,2443683#3,601935#0,1037856#0,2012261#3,61964#0,06970707#0,2340526#3,600171#-0,04650392#-0,235953#3,70034#0,0894383#-0,2440223#3,451294#-0,07746837#-0,542408#3,812872#0,0502398#-0,5958747#3,38737#-0,04024254#-0,5644417#3,706125#0,1215817#-0,6406351#3,399793#1  
frame16 #0,2163523#1,009667#3,729939#0,1384162#0,8124309#3,684422# 0,1009067#0,5636467#3,189037#0,264893#0,4115492#3,538232#0,1291656#0,5317333#3,238947#0,2171539#0,4379334#3,506377#0,2139425#0,4359932#3,403118#-0,03255742#0,4664257#3,432476#0,1634633#0,632215#3,500826#0,06337778#0,6566737#3,53045#0,1137685#0,3403578#3,672637#0,0929202#0,2590975#3,608816#0,1099551#0,216911#3,624662#0,0713702#0,2393364#3,595411#-0,04314364#-0,2251576#3,701001#0,09201737#-0,2442652#3,457276#-0,09697121#-0,4772853#3,825829#0,04820297#-0,5953178#3,388491#-0,08765554#-0,5769219#3,795956#0,1199023#-0,6395566#3,398934#1  
frame17 #0,1779128#1,004374#3,828094#0,106586#0,8245468#3,702036# 0,06982644#0,5749158#3,208494#0,2730654#0,4496081#3,561167#0,09789795#0,5432141#3,258073#0,2277704#0,4420189#3,518217#0,1821125#0,4481091#3,421076#-0,006377619#0,4670061#3,497737#0,1316333#0,644331#3,51844#0,06193143#0,6472967#3,558741#0,1233841#0,3376328#3,676635#0,0909946#0,2524147#3,619126#0,1056747#0,2149824#3,633178#0,07302759#0,2381649#3,59875#-0,03130712#-0,267399#3,782872#0,09917687#-0,2422731#3,46307#-0,07709944#-0,5592996#3,793966#0,04843445#-0,595124#3,3882#-0,121272#-0,6035448#3,719279#0,1246015#-0,6395683#3,395833#1  
frame18 #0,1657041#1,028985#3,801751#0,1105058#0,8288403#3,72187# 0,07379608#0,5791529#3,228163#0,2615591#0,4559963#3,602082#0,1018551#0,5474654#3,27772#0,2066461#0,447432#3,537087#0,1860322#0,4524026#3,440742#0,00755554#0,4727537#3,5032#0,135553#0,6486244#3,538273#0,09700342#0,6899281#3,588714#0,1393189#0,3422785#3,685059#0,09448726#0,2546918#3,635654#0,1046323#0,2154933#3,66505#0,07892184#0,2382593#3,604017#-0,03077787#-0,2669794#3,783762#0,1038932#-0,2408051#3,468146#-0,07687377#-0,556824#3,798743#0,04709991#-0,5937681#3,389229#-0,05308929#-0,6344758#3,801348#-0,01738496#-0,6365458#3,333105#1  
frame19 #0,1228331#1,031851#3,923652#0,1027074#0,8482332#3,781044# -0,04793859#0,6398692#3,304083#0,3450207#0,4733667#3,679227#-0,02484675#0,594627#3,345013#0,2885184#0,4852341#3,653421#0,04442875#0,4589003#3,482018#0,07072905#0,5005291#3,517852#0,08109398#0,6404916#3,572996#0,08174334#0,740846#3,656343#0,137633#0,4110315#3,697917#0,07724903#0,3279272#3,68007#0,07340741#0,2622616#3,621388#0,07570958#0,2836174#3,714405#-0,0293095#-0,2647476#3,782664#0,115891#-0,2406944#3,479558#-0,07886912#-0,5555717#3,765572#0,04689623#-0,5932933#3,388512#-0,03968876#-0,6251805#3,764221#-0,03768092#-0,63419#3,385715#1  
frame20 #0,1263395#1,03782#3,921832#0,09822315#0,8482188#3,795099# 0,03706292#0,6502057#3,372689#0,3263048#0,4795277#3,699667#0,05936453#0,5957787#3,401235#0,2811059#0,4830406#3,641966#0,1262694#0,4324978#3,501112#0,08300655#0,5421774#3,55181#0,1233461#0,618377#3,591603#0,05728458#0,7674806#3,717586#0,1102073#0,4387331#3,75565#0,06133992#0,3716055#3,708052#0,07354126#0,2700254#3,617782#0,03837439#0,309892#3,767432#-0,01391383#-0,2634591#3,771674#0,1175067#-0,2000293#3,499027#-0,09219023#-0,5326762#3,831481#0,04745166#-0,5924474#3,386834#-0,07801825#-0,5658913#3,729755#-0,01920405#-0,6339107#3,335368#1  
frame21 #0,1091706#1,030665#3,950189#0,08055925#0,8449659#3,816276# 0,06163793#0,5932884#3,336344#0,315614#0,47682#3,714045#0,09831402#0,5662646#3,384111#0,2652637#0,4799772#3,646637#0,2083423#0,4851929#3,541651#0,0776011#0,5384443#3,559011#0,1274107#0,6707004#3,65981#0,04682491#0,765193#3,726309#0,09003443#0,421295#3,769755#0,06145188#0,3487512#3,705922#0,08096444#0,2891454#3,640143#0,03754404#0,2862662#3,742269#-0,01140115#-0,2568561#3,770724#0,1255584#-0,226933#3,490327#-0,0839681#-0,5452853#3,801953#0,04455574#-0,5871617#3,359515#-0,0493931#-0,5658245#3,701737#0,07847575#-0,645043#3,316278#1  
