frame12 #0,147242#0,9588796#3,731168#0,01764586#0,7898#3,671926# 0,07784539#0,2552527#3,525461#0,006037217#0,2790129#3,387712#0,06548131#0,2978849#3,470742#-0,04477185#0,3275081#3,393301#0,02838905#0,4257815#3,32083#-0,197199#0,4729937#3,424313#0,03223032#0,6360484#3,478085#-0,04449509#0,6426263#3,537289#-0,01582156#0,305198#3,555967#-0,06091866#0,2300906#3,493321#-0,05139765#0,2097688#3,491498#-0,07529498#0,2157428#3,484733#-0,1240254#-0,3183367#3,731645#0,04052255#-0,2667216#3,355696#-0,1080629#-0,5902921#3,685327#0,03626465#-0,6125419#3,261101#-0,1547055#-0,6319008#3,625272#-0,01037794#-0,6541506#3,201045#1  
frame13 #0,1446167#0,9615136#3,736002#0,01520029#0,7907209#3,687768# 0,129634#0,3105528#3,480987#0,1229752#0,2606366#3,456994#0,06292105#0,2992013#3,48633#0,04877601#0,3118044#3,44684#0,02594348#0,4267024#3,33684#-0,1738216#0,4653079#3,430539#0,02978475#0,6369693#3,493928#-0,04714986#0,6385587#3,541607#-0,01939795#0,3009831#3,564959#-0,05991508#0,2274447#3,495425#-0,04758545#0,2020919#3,496856#-0,07545616#0,214778#3,484484#-0,1371364#-0,3052022#3,721323#0,04025196#-0,2668298#3,355257#-0,128914#-0,6011499#3,710707#0,02613585#-0,6094876#3,25425#-0,1572917#-0,6677848#3,704986#-0,01414084#-0,651516#3,191664#1  
frame14 #0,08020351#0,9613506#3,89596#0,001099709#0,7863505#3,759583# 0,2133916#0,306574#3,47684#0,2313997#0,3023395#3,552325#0,1480644#0,2960649#3,491864#0,1559618#0,3326253#3,521752#0,01184291#0,422332#3,408882#-0,07035182#0,4234828#3,444079#0,01568417#0,6325989#3,565742#-0,04048237#0,6028162#3,575863#-0,01870461#0,2899254#3,583491#-0,05062687#0,2201007#3,502861#-0,04097719#0,2021358#3,499044#-0,06380185#0,2048547#3,496527#-0,148859#-0,2884253#3,698024#0,03143306#-0,2676849#3,35215#-0,145413#-0,6038265#3,702924#-0,02603038#-0,594292#3,206246#-0,176707#-0,650714#3,637624#-0,05732437#-0,6411795#3,140945#1  
frame15 #-0,05828997#0,9837999#3,955908#-0,0529282#0,7823008#3,83775# 0,3338647#0,388635#3,626075#0,2429093#0,3583044#3,614281#0,2678888#0,3780216#3,641248#0,1619374#0,4065484#3,605436#0,07903225#0,3956065#3,458056#-0,08097826#0,5512807#3,592926#0,004987607#0,6013225#3,600816#-0,239529#0,671053#3,823378#-0,04521149#0,3233465#3,61743#-0,07745109#0,2619834#3,530146#-0,03707329#0,2079405#3,496809#-0,1288656#0,2062341#3,504852#-0,1563845#-0,2957262#3,698364#-0,003748703#-0,2722106#3,329543#-0,1776684#-0,6226119#3,679834#-0,07174857#-0,6118561#3,161535#-0,1530795#-0,6308025#3,582415#0,003768397#-0,6653377#3,142386#1  
frame16 #-0,07807377#0,8976962#4,007557#-0,09697717#0,7145188#3,855151# 0,3575411#0,3124388#3,50958#-0,2383775#0,4561855#4,122739#0,2918554#0,3018721#3,524686#-0,2845618#0,4770529#4,042839#0,1812782#0,4800404#3,531775#-0,4231149#0,5396553#3,817054#0,0008686542#0,5857885#3,683794#-0,2075857#0,6045015#3,747801#-0,1155735#0,2859044#3,64286#-0,1321919#0,2359698#3,551332#-0,08840358#0,1971819#3,520301#-0,1818119#0,1955091#3,529745#-0,1593282#-0,2958783#3,695803#-0,01902251#-0,268615#3,310635#-0,1949371#-0,5698892#3,70396#-0,09049441#-0,5900306#3,104678#-0,1697635#-0,5779098#3,606087#-0,03013569#-0,6624898#3,094652#1  
frame17 #-0,1236192#0,8709276#4,001734#-0,1613965#0,6820343#3,86573# 0,4082415#0,3879172#3,740423#-0,3266988#0,333251#4,006733#0,3893704#0,4001885#3,67611#-0,3622262#0,3624112#3,925497#0,2366573#0,5325415#3,64526#-0,4688085#0,4498918#3,695615#0,03399312#0,5592822#3,704753#-0,2774347#0,5284336#3,729221#-0,1130637#0,288621#3,645843#-0,1077082#0,250083#3,557887#-0,02556341#0,1983254#3,493835#-0,1693831#0,1939659#3,533812#-0,1749591#-0,3141547#3,705588#-0,04757396#-0,2534664#3,29483#-0,2027424#-0,6128964#3,698916#-0,08927378#-0,5780252#3,079841#-0,1886311#-0,6203477#3,598205#-0,05320167#-0,6626679#3,035889#1  
frame18 #-0,202343#0,6686688#3,884715#-0,14205#0,5153158#3,710374# 0,3123503#0,4240213#4,021991#-0,3539863#0,2376647#3,82206#0,3035909#0,4588082#3,963075#-0,3715092#0,2807601#3,75152#0,2773125#0,5631689#3,799989#-0,4240781#0,4100463#3,553563#0,03414332#0,5046078#3,71581#-0,2681983#0,4902291#3,698559#-0,1011986#0,2537855#3,615881#-0,09998219#0,2432963#3,55182#-0,02059686#0,1913339#3,496806#-0,1558837#0,181827#3,523153#-0,1853804#-0,3238459#3,715346#-0,04930133#-0,284194#3,248763#-0,1984983#-0,6015922#3,685001#-0,1062159#-0,5975505#3,021663#-0,1842633#-0,6109064#3,584393#-0,06184148#-0,6731193#2,988007#1  
frame19 #-0,1707763#0,6792647#3,889256#-0,1199238#0,5283464#3,712667# 0,2134143#0,492309#4,093401#-0,3502505#0,2030241#3,713285#0,2156049#0,5114996#4,027347#-0,3659344#0,2523105#3,66596#0,2221767#0,5690712#3,842719#-0,4129863#0,4001694#3,537519#0,02679022#0,5335173#3,732358#-0,2416662#0,4841783#3,672412#-0,09635951#0,2501556#3,610881#-0,08181455#0,2274271#3,538778#-0,01453292#0,1822148#3,498652#-0,1389576#0,1729128#3,509679#-0,1847309#-0,3233226#3,720986#-0,04925223#-0,2821871#3,246436#-0,2003788#-0,599773#3,680279#-0,1120685#-0,5890602#3,013499#-0,1800168#-0,6081173#3,580633#-0,05887118#-0,6713476#2,985#1  
frame20 #-0,1688937#0,6672799#3,877344#-0,1173221#0,5190105#3,702114# 0,3725308#0,589259#4,093749#-0,3566908#0,2065798#3,709774#0,3245285#0,5818593#4,046921#-0,3602953#0,247905#3,653969#0,1952803#0,5791048#3,902061#-0,3711088#0,3718809#3,499949#0,02234807#0,5129181#3,723052#-0,2298048#0,4981751#3,662181#-0,101359#0,244317#3,605662#-0,08452536#0,2217356#3,535564#-0,02005491#0,1740256#3,499476#-0,1397525#0,1716017#3,508349#-0,189655#-0,3224181#3,725633#-0,05127328#-0,2814845#3,241148#-0,2085426#-0,5974651#3,679311#-0,1147091#-0,5808184#2,999829#-0,1950638#-0,6076152#3,579022#-0,060506#-0,6602117#2,966642#1  
frame21 #-0,1674786#0,6648946#3,874721#-0,1162744#0,5183188#3,701113# 0,305621#0,5900042#4,132067#-0,332848#0,2022559#3,647271#0,265808#0,5874832#4,077612#-0,3320536#0,2476415#3,597308#0,1463689#0,5799202#3,927547#-0,3296705#0,3837986#3,46072#0,02139131#0,5066252#3,72111#-0,2264494#0,4880269#3,631931#-0,0826421#0,2364068#3,584739#-0,059005#0,2155565#3,513755#-6,80699E-05#0,1676386#3,494453#-0,09945511#0,1702793#3,462965#-0,1862074#-0,3158659#3,721182#-0,05097708#-0,2800907#3,234844#-0,2040273#-0,5906092#3,681054#-0,1154852#-0,5774696#2,993063#-0,1910326#-0,5997471#3,580863#-0,06580719#-0,6558425#2,952072#1  
frame22 #-0,0595334#0,6874442#3,849997#-0,05759346#0,5117853#3,710137# 0,2959035#0,4818946#4,02362#-0,3022029#0,1975654#3,625087#0,2537841#0,4847773#3,971396#-0,3051591#0,2391987#3,572479#0,1274258#0,4934255#3,827846#-0,3140278#0,3640986#3,427776#-0,007232443#0,406081#3,633306#-0,2189995#0,4635131#3,600754#-0,127913#0,2011801#3,584583#-0,1263293#0,1631572#3,506463#-0,07366415#0,08485194#3,51017#-0,2006228#0,1380202#3,443937#-0,2024149#-0,3844359#3,74855#-0,04632893#-0,2792552#3,217056#-0,2177451#-0,5845277#3,705306#-0,113657#-0,5745364#2,977904#-0,2052456#-0,5942088#3,605614#-0,06587328#-0,6570361#2,944754#1  
frame23 #-0,06203254#0,6670453#3,83025#-0,1509638#0,5413355#3,660125# 0,2942556#0,4795038#4,009244#-0,2832486#0,207766#3,605544#0,2521411#0,4827873#3,957248#-0,2831789#0,2425718#3,548302#0,1257973#0,4926381#3,814328#-0,2829698#0,3469891#3,389647#-0,008641163#0,4053195#3,621871#-0,3046116#0,4921902#3,552563#-0,1619616#0,2306593#3,569432#-0,1428371#0,1899886#3,501967#-0,0691998#0,09544669#3,498155#-0,2192613#0,1550722#3,446879#-0,2101712#-0,3929612#3,738884#-0,03874816#-0,2849635#3,203123#-0,2023862#-0,6135013#3,687237#-0,1027195#-0,5772003#2,958945#-0,1908941#-0,6200195#3,58694#-0,07339253#-0,6233432#2,890032#1  
frame24 #-0,08838153#0,5585292#3,741934#-0,1346422#0,3999211#3,57987# 0,2859624#0,4811926#3,999259#-0,3026297#0,2510623#3,468861#0,2443324#0,4841069#3,947683#-0,2824392#0,2886576#3,478862#0,1194424#0,4928495#3,805896#-0,2784887#0,4408667#3,2697#-0,01413785#0,4060368#3,614197#-0,2882901#0,3507758#3,472308#-0,1475243#0,2032886#3,558343#-0,1347475#0,1856327#3,501825#-0,05455587#0,1057404#3,489225#-0,1995409#0,1332817#3,468965#-0,1995812#-0,3941404#3,734386#-0,03403724#-0,291158#3,191664#-0,2017355#-0,6126387#3,684587#-0,1040733#-0,5848334#2,952101#-0,1903177#-0,6193651#3,584701#-0,0711141#-0,6272922#2,882905#1  
frame25 #-0,09012453#0,5629677#3,740238#-0,1358569#0,4097397#3,580548# 0,283485#0,4828918#3,993361#-0,3041632#0,249578#3,463706#0,2423943#0,4851418#3,942116#-0,2837689#0,2769938#3,477655#0,119122#0,4918917#3,801161#-0,2783554#0,4039079#3,255862#-0,01313628#0,4059235#3,611126#-0,2895048#0,3605944#3,472986#-0,132259#0,2043387#3,544953#-0,1066702#0,1912652#3,485628#-0,01848539#0,1241434#3,458028#-0,167156#0,1437845#3,451186#-0,1754744#-0,3353112#3,699367#-0,03304277#-0,2917305#3,189443#-0,1817392#-0,6071843#3,646389#-0,1038307#-0,5852516#2,950746#-0,1722281#-0,6150001#3,546748#-0,0732036#-0,6332688#2,884579#1  
frame26 #-0,08922694#0,5635604#3,738392#-0,1343408#0,4105773#3,579648# 0,2848404#0,4844355#3,986147#-0,2887603#0,2242332#3,556703#0,2442672#0,4860877#3,935237#-0,2914466#0,2629752#3,477619#0,1225477#0,4910443#3,795166#-0,2995054#0,3792011#3,253026#-0,008411079#0,4058967#3,606797#-0,2879887#0,361432#3,472085#-0,1246119#0,2044827#3,53767#-0,1021323#0,1914667#3,480724#-0,01758753#0,1250286#3,455353#-0,1630874#0,142855#3,445716#-0,1712816#-0,3314711#3,694713#-0,02529088#-0,3307895#3,204585#-0,1796968#-0,6027504#3,643606#-0,1118479#-0,5974541#2,939951#-0,1704285#-0,6112102#3,544319#-0,08268146#-0,6466692#2,874374#1  
frame27 #-0,08576214#0,5623555#3,727643#-0,1228953#0,4063212#3,570344# 0,2510274#0,5058098#3,957888#-0,2866531#0,1902228#3,579891#0,2106686#0,5072314#3,907125#-0,296229#0,2375142#3,512938#0,08959223#0,5114962#3,767382#-0,3249567#0,3793883#3,324627#-0,04082282#0,426732#3,579582#-0,2425049#0,3392696#3,520899#-0,09274709#0,182448#3,515373#-0,08416705#0,1655488#3,454499#-0,01699763#0,1226284#3,435948#-0,1423995#0,1228097#3,436565#-0,1664006#-0,3240683#3,686928#-0,0227397#-0,3068953#3,185872#-0,1758102#-0,5952147#3,639144#-0,1057227#-0,5927032#2,944112#-0,1668208#-0,6046145#3,540169#-0,1003299#-0,6440258#2,874312#1  
