frame1 #-0,08457791#1,046994#3,288015#-0,1035893#0,8146414#3,217879# -0,08379404#0,1640426#2,967429#-0,1616925#0,2138518#2,98073#-0,0272879#0,2416844#2,971706#-0,2233517#0,2863612#2,994147#0,1422305#0,4746097#2,999805#-0,4083292#0,5038893#3,049666#0,0106723#0,6769879#3,108465#-0,2139214#0,6487986#3,129883#-0,09030901#0,3836285#3,196155#-0,0956388#0,3108837#3,129513#-0,04431509#0,2671626#3,114832#-0,1453823#0,2544774#3,123595#-0,161795#-0,2720917#3,224317#-0,04708393#-0,2537156#3,068155#-0,2452414#-0,602329#3,299308#-0,1040204#-0,6067695#2,952273#-0,2019908#-0,6194013#3,181254#-0,115658#-0,657245#2,854857#1  
frame32 #-0,2529652#0,8204938#3,584507#-0,2646205#0,6462119#3,429062# -0,1067814#0,6275882#3,311543#-0,3953607#0,2450415#3,339039#-0,06229807#0,6279249#3,360326#-0,4297453#0,2358567#3,283356#0,07115179#0,6289353#3,520857#-0,4292081#0,3290465#3,111827#-0,03074978#0,5554795#3,395567#-0,2657609#0,4729766#3,256568#-0,1722582#0,239112#3,299536#-0,1354985#0,1877399#3,226142#-0,07099783#0,1236268#3,225122#-0,1723635#0,147608#3,176971#-0,2678782#-0,3917536#3,433127#-0,1078573#-0,3149056#2,846852#-0,3565434#-0,6368636#3,350307#-0,1749513#-0,5878556#2,593422#-0,3335967#-0,6441633#3,240201#-0,1428697#-0,6446553#2,520277#1  
frame33 #-0,2723123#0,8320119#3,563961#-0,2641942#0,6462297#3,428908# -0,2384393#0,5214069#3,139778#-0,3629732#0,2200681#3,295972#-0,1813872#0,4814074#3,195361#-0,3973007#0,2108986#3,240381#-0,01023099#0,3614089#3,376224#-0,3810228#0,3437118#3,077554#-0,08102342#0,5396165#3,356062#-0,266357#0,4691816#3,240388#-0,1757597#0,2241751#3,288044#-0,1395232#0,1659317#3,209582#-0,08693673#0,0959468#3,212893#-0,1700915#0,1385264#3,161304#-0,2731986#-0,352042#3,451781#-0,1099648#-0,3138051#2,845998#-0,344629#-0,5999857#3,356962#-0,1789143#-0,5837265#2,58916#-0,3237249#-0,6117062#3,246967#-0,1536155#-0,678891#2,534597#1  
frame34 #-0,2883426#0,8375807#3,556502#-0,2631182#0,6473663#3,431724# -0,223401#0,5005282#3,145203#-0,3084295#0,0923985#3,168545#-0,1661433#0,4645984#3,203693#-0,3430626#0,08314732#3,112459#0,005630061#0,356809#3,393296#-0,3400422#0,3341499#3,032238#-0,07842994#0,5203612#3,347065#-0,2564464#0,4553087#3,207979#-0,1830152#0,2207649#3,285373#-0,1418217#0,1626931#3,209477#-0,08916156#0,09547018#3,219143#-0,1763953#0,1287571#3,150403#-0,2741299#-0,34435#3,450173#-0,1155426#-0,3171023#2,839662#-0,3494993#-0,5928513#3,361089#-0,1842087#-0,5866482#2,581808#-0,3315525#-0,6044876#3,250012#-0,1567554#-0,681335#2,526343#1  
frame35 #-0,348016#0,8148054#3,557644#-0,2608497#0,644847#3,429987# -0,2264308#0,4253833#3,095134#-0,3381036#0,1568259#3,227092#-0,1717547#0,4097266#3,143449#-0,3728274#0,1475504#3,17086#-0,007726476#0,3627567#3,302587#-0,3134162#0,3436034#3,023396#-0,1286646#0,5172685#3,311461#-0,2614084#0,4842921#3,195756#-0,212117#0,1777651#3,247341#-0,1713605#0,1143499#3,170226#-0,1342126#0,05577876#3,178198#-0,1926219#0,1129561#3,134307#-0,273907#-0,341419#3,447776#-0,116239#-0,3177982#2,839523#-0,350687#-0,590057#3,359829#-0,1873499#-0,5862472#2,580497#-0,3325303#-0,6020889#3,248667#-0,1580814#-0,6806756#2,525198#1  
frame36 #-0,3565064#0,754125#3,504539#-0,2336764#0,6045647#3,381512# -0,2207007#0,4210965#3,095506#-0,3381187#0,1588238#3,224507#-0,1659843#0,4053883#3,143827#-0,3729753#0,1495129#3,16806#-0,001835018#0,3582637#3,303004#-0,3100916#0,3257598#2,991858#-0,1228942#0,5129301#3,311896#-0,2412829#0,4577248#3,149327#-0,2103765#0,1738411#3,238452#-0,1625722#0,1091135#3,170178#-0,1250321#0,05150922#3,181222#-0,1833655#0,09679067#3,12724#-0,2507339#-0,3336444#3,452636#-0,1160725#-0,3187866#2,840458#-0,3485837#-0,5742061#3,360971#-0,1894619#-0,5862232#2,580207#-0,3307869#-0,588267#3,249738#-0,1579188#-0,6805513#2,525484#1  
frame37 #-0,3578113#0,7534122#3,50545#-0,233851#0,6045341#3,381502# -0,1792425#0,4050129#3,101688#-0,3410692#0,1529781#3,219524#-0,1244723#0,3892361#3,150018#-0,3760724#0,143628#3,162839#0,03983812#0,3419055#3,30923#-0,3059791#0,3231894#2,991834#-0,08138219#0,4967779#3,318116#-0,2414574#0,4576943#3,149316#-0,2024573#0,1738891#3,238701#-0,1565045#0,1119877#3,168465#-0,107092#0,05567992#3,18365#-0,182361#0,09363823#3,117377#-0,2774611#-0,3550518#3,43189#-0,1156805#-0,3193831#2,840284#-0,3574464#-0,6043556#3,348796#-0,1905623#-0,5859952#2,579213#-0,3324428#-0,6161588#3,238399#-0,1615973#-0,6794705#2,521116#1  
frame38 #-0,3594163#0,7534311#3,506738#-0,2356783#0,6043954#3,381363# -0,1797034#0,4055966#3,101851#-0,3474981#0,1566215#3,20856#-0,1248758#0,3897464#3,15019#-0,3826454#0,1472329#3,151642#0,03960691#0,3421957#3,309433#-0,3075453#0,3295176#2,984761#-0,08178569#0,4972882#3,318302#-0,2432848#0,4575555#3,149177#-0,1992725#0,1761784#3,238065#-0,1520616#0,1168496#3,168577#-0,1028111#0,05945808#3,183583#-0,1813131#0,0952509#3,116969#-0,289105#-0,4182986#3,401752#-0,1116318#-0,3285597#2,836253#-0,3453109#-0,5716749#3,352244#-0,1905041#-0,5913337#2,573215#-0,3216908#-0,5880594#3,241829#-0,1603206#-0,6849731#2,515436#1  
frame39 #-0,3663219#0,7534814#3,506399#-0,2434758#0,6046733#3,377932# -0,2308492#0,4479959#3,084028#-0,3660803#0,1488833#3,193278#-0,1743395#0,4151057#3,126696#-0,4013693#0,139457#3,13613#-0,004810244#0,3164352#3,268941#-0,318358#0,3305478#2,981622#-0,08186445#0,4978024#3,317847#-0,2510823#0,4578335#3,145746#-0,1917442#0,1768849#3,230594#-0,1425282#0,1195377#3,16026#-0,08771317#0,06412419#3,161847#-0,1755314#0,09732565#3,115529#-0,2829231#-0,4055607#3,400437#-0,1102676#-0,3277799#2,836233#-0,374536#-0,6540186#3,340968#-0,1897198#-0,5899434#2,573473#-0,3462948#-0,6596827#3,230264#-0,1601095#-0,683665#2,514954#1  
frame40 #-0,3677143#0,7529808#3,506152#-0,244525#0,6043383#3,377141# -0,230693#0,4495973#3,084164#-0,2719383#0,09369304#3,124163#-0,1740258#0,4165137#3,127354#-0,3072927#0,08424918#3,066909#-0,004024304#0,317263#3,271197#-0,3286458#0,328826#2,977152#-0,08157877#0,4988261#3,317177#-0,2521316#0,4574985#3,144955#-0,1907741#0,1783558#3,22768#-0,1421364#0,1216807#3,157495#-0,08899976#0,06450285#3,159873#-0,1738925#0,1003704#3,112745#-0,2811377#-0,4032516#3,400284#-0,1076974#-0,3295885#2,833919#-0,3711631#-0,6518584#3,340321#-0,1886829#-0,5898321#2,570211#-0,3440136#-0,6577638#3,229209#-0,1595665#-0,684594#2,51285#1  
frame41 #-0,370977#0,7521486#3,504028#-0,2481016#0,6044157#3,374938# -0,1929733#0,4165378#3,091822#-0,329487#0,1949828#3,152119#-0,1420505#0,3889215#3,159515#-0,3646592#0,1855876#3,095161#0,01071775#0,3060729#3,376787#-0,3351357#0,3300786#2,977898#-0,06148979#0,431192#3,269885#-0,2528186#0,4444997#3,16827#-0,1837643#0,1787878#3,22898#-0,1421389#0,1232707#3,154387#-0,08910808#0,06375203#3,159305#-0,17318#0,1034586#3,100714#-0,277334#-0,3962653#3,39889#-0,1064316#-0,3302579#2,83206#-0,3627037#-0,6454605#3,333617#-0,187097#-0,5895841#2,56795#-0,3367924#-0,6520959#3,222636#-0,1591536#-0,6844966#2,511003#1  
frame42 #-0,3572601#0,7601676#3,502778#-0,2494513#0,6035796#3,371094# -0,2003631#0,4228332#3,081745#-0,3302147#0,1838625#3,145415#-0,1494279#0,3881093#3,145655#-0,3652153#0,1745132#3,088734#0,003377475#0,2839377#3,351501#-0,3433863#0,3270871#2,980329#-0,0618301#0,4349844#3,271045#-0,2532451#0,4440097#3,17108#-0,1826877#0,1819729#3,227065#-0,1417688#0,1279317#3,152596#-0,08908067#0,06635378#3,159597#-0,1728277#0,1059674#3,098844#-0,275159#-0,413956#3,403732#-0,1048973#-0,3348783#2,824785#-0,3691306#-0,6574366#3,325689#-0,1809828#-0,5947244#2,560417#-0,3422769#-0,6624701#3,215221#-0,1579303#-0,6906779#2,503749#1  
frame43 #-0,3452709#0,768045#3,501104#-0,249221#0,6037461#3,370222# -0,2185526#0,4424737#3,071457#-0,3309497#0,1646855#3,162421#-0,1704915#0,4102662#3,112979#-0,3659068#0,1553477#3,10581#-0,0263082#0,3136436#3,251676#-0,3543143#0,3336379#2,979631#-0,05855707#0,5044792#3,308792#-0,253705#0,4436026#3,171323#-0,1745761#0,1928243#3,228835#-0,13335#0,1433717#3,155829#-0,07750566#0,08113793#3,164329#-0,1672215#0,1125319#3,100177#-0,2697302#-0,3913781#3,407933#-0,104587#-0,3348844#2,824413#-0,3573119#-0,6381354#3,335396#-0,1819321#-0,5939729#2,559906#-0,3311428#-0,6460118#3,225026#-0,1588225#-0,6889994#2,501904#1  
frame44 #-0,3421236#0,7695546#3,500984#-0,2494568#0,6038162#3,369812# -0,2163071#0,4416989#3,045306#-0,3309124#0,1651907#3,161688#-0,1695237#0,3933494#3,102285#-0,3658204#0,155866#3,105157#-0,02917376#0,248301#3,287303#-0,3572633#0,3304473#2,979087#-0,04808073#0,4377158#3,270409#-0,2536554#0,4432288#3,171062#-0,1753262#0,1923469#3,227824#-0,1353326#0,1419172#3,153989#-0,08094843#0,07599931#3,162097#-0,1684853#0,112604#3,098381#-0,2699013#-0,3896529#3,407058#-0,104513#-0,3346962#2,823936#-0,3562422#-0,6367233#3,334842#-0,1828061#-0,5929873#2,559283#-0,3313035#-0,6441643#3,224271#-0,1591053#-0,6881598#2,501977#1  
frame45 #-0,325073#0,7555157#3,500952#-0,231564#0,5997716#3,354466# -0,2186005#0,4411544#3,061941#-0,3263848#0,165289#3,159406#-0,1574442#0,4087852#3,115767#-0,3612384#0,1559789#3,102964#0,02602479#0,3116775#3,291347#-0,3554628#0,3275084#2,978072#-0,07167318#0,4744681#3,277306#-0,254977#0,4458598#3,172562#-0,1765032#0,1858894#3,220345#-0,1405272#0,1308701#3,144798#-0,09170689#0,06804322#3,143731#-0,1720839#0,1090891#3,099954#-0,27005#-0,388778#3,40667#-0,104401#-0,3345972#2,823911#-0,3554368#-0,6365886#3,337811#-0,1828607#-0,5927596#2,559474#-0,3301685#-0,6443361#3,227461#-0,1586204#-0,6877403#2,50232#1  
frame46 #-0,3315257#0,7632111#3,50673#-0,2460103#0,6041161#3,358706# -0,1879503#0,4574236#3,105711#-0,3252632#0,1643177#3,160124#-0,1272126#0,4412734#3,165987#-0,3600814#0,1550171#3,103739#0,05500069#0,3928228#3,360939#-0,3508283#0,3345175#2,979388#-0,07670252#0,4792432#3,276986#-0,2543683#0,4467879#3,172028#-0,18062#0,1814076#3,21685#-0,144224#0,1255176#3,140829#-0,0954769#0,06641901#3,141076#-0,1742045#0,1068019#3,099721#-0,2709501#-0,3880294#3,405787#-0,1042311#-0,3347549#2,82391#-0,3553144#-0,6361204#3,337537#-0,1833085#-0,5922675#2,559269#-0,3297932#-0,6439648#3,227337#-0,1588046#-0,6872006#2,502313#1  
frame47 #-0,3057584#0,7565562#3,487968#-0,2240391#0,595789#3,338881# -0,1828158#0,4560613#3,107351#-0,2740959#0,09341516#3,080841#-0,1238815#0,4363408#3,168489#-0,3089932#0,08409342#3,024328#0,05292128#0,3771791#3,366014#-0,3478487#0,336017#2,979914#-0,06651606#0,4769884#3,279078#-0,2529383#0,4474668#3,170585#-0,1805168#0,1837427#3,217101#-0,1437389#0,1266848#3,141446#-0,09264159#0,07072665#3,142995#-0,1759921#0,1061669#3,101241#-0,2721303#-0,3969034#3,401114#-0,1048542#-0,3364306#2,821023#-0,3583162#-0,6438321#3,331337#-0,1836313#-0,5940833#2,556987#-0,3316687#-0,6509464#3,221176#-0,1582645#-0,6895111#2,500896#1  
frame48 #-0,3191606#0,7624806#3,496992#-0,2382601#0,6006336#3,347556# -0,1774405#0,4559986#3,108682#-0,2722906#0,08590613#3,073674#-0,1231842#0,4326072#3,1731#-0,3073508#0,07654086#3,016897#0,03958453#0,3624329#3,380471#-0,3435953#0,3311994#2,980019#-0,05345108#0,4750051#3,280749#-0,251948#0,4487236#3,170782#-0,1854222#0,1929661#3,219913#-0,1507295#0,1411664#3,146343#-0,09625936#0,07701279#3,148898#-0,1834847#0,1150397#3,099725#-0,2668203#-0,3469414#3,401996#-0,1049275#-0,3364649#2,820917#-0,3404006#-0,5992447#3,340136#-0,1840937#-0,5943115#2,556957#-0,3168673#-0,6119372#3,229389#-0,1582323#-0,6898471#2,500531#1  
