frame1 #-0,08457791#1,046994#3,288015#-0,1035893#0,8146414#3,217879# -0,08379404#0,1640426#2,967429#-0,1616925#0,2138518#2,98073#-0,0272879#0,2416844#2,971706#-0,2233517#0,2863612#2,994147#0,1422305#0,4746097#2,999805#-0,4083292#0,5038893#3,049666#0,0106723#0,6769879#3,108465#-0,2139214#0,6487986#3,129883#-0,09030901#0,3836285#3,196155#-0,0956388#0,3108837#3,129513#-0,04431509#0,2671626#3,114832#-0,1453823#0,2544774#3,123595#-0,161795#-0,2720917#3,224317#-0,04708393#-0,2537156#3,068155#-0,2452414#-0,602329#3,299308#-0,1040204#-0,6067695#2,952273#-0,2019908#-0,6194013#3,181254#-0,115658#-0,657245#2,854857#1  
frame12 #-0,04193072#0,9686418#3,322108#-0,08565568#0,7693048#3,271147# -0,2880464#0,4389255#2,86437#0,01582536#0,3559954#3,036997#-0,2042083#0,4268566#2,875817#-0,04372355#0,3754572#3,028856#-0,04001083#0,3892478#2,994253#-0,2407248#0,4583984#2,920047#-0,05690804#0,5836185#3,069352#-0,1352473#0,6262063#3,107689#-0,1075166#0,299867#3,218651#-0,132484#0,2199673#3,156887#-0,1166007#0,1802423#3,175895#-0,1586713#0,1897621#3,12397#-0,2726588#-0,3135875#3,402911#-0,1141217#-0,2737297#3,057935#-0,3029829#-0,5849165#3,358625#-0,1865549#-0,6288342#3,038253#-0,2516727#-0,6076325#3,263351#-0,1162304#-0,6814727#3,015866#1  
frame13 #-0,01895147#0,9547002#3,346666#-0,09054095#0,7661328#3,27057# -0,2919546#0,4356153#2,863595#-0,01347016#0,3242402#3,073322#-0,2088883#0,423245#2,875561#-0,06836838#0,3443291#3,05065#-0,04490598#0,3860954#2,993404#-0,2801868#0,4622538#2,95185#-0,06179515#0,5804492#3,068769#-0,1460259#0,6186762#3,113016#-0,1059248#0,3756707#3,260815#-0,132276#0,3115396#3,203863#-0,1194407#0,2243514#3,264805#-0,1574653#0,2247472#3,1152#-0,2703578#-0,3206719#3,402357#-0,1040465#-0,2797695#3,061515#-0,2950574#-0,5913758#3,35847#-0,1868342#-0,6292178#3,038258#-0,2457988#-0,6128038#3,261613#-0,1176547#-0,681623#3,015287#1  
frame14 #-0,01160026#0,9486004#3,352285#-0,09647711#0,7632886#3,288023# -0,2984103#0,4329146#2,880513#-0,1014426#0,3101713#3,06058#-0,2151638#0,4199351#2,893947#-0,1586678#0,3602117#3,028565#-0,05083664#0,3832824#3,010642#-0,3206801#0,4604436#2,973953#-0,06773078#0,5776095#3,086211#-0,1608487#0,604738#3,127494#-0,1219324#0,2958167#3,243811#-0,147946#0,2183387#3,176955#-0,1268501#0,1951426#3,188652#-0,1736423#0,1890472#3,152088#-0,2667854#-0,3240551#3,408736#-0,09801033#-0,2811616#3,063476#-0,2990553#-0,5925126#3,389146#-0,1873067#-0,6301289#3,038763#-0,2539749#-0,6115977#3,289543#-0,1176585#-0,681689#3,015709#1  
frame15 #-0,008320145#0,9435447#3,353287#-0,09475826#0,7581406#3,303004# -0,2962064#0,4276697#2,896177#-0,142144#0,3230963#3,016585#-0,212887#0,4146308#2,909412#-0,1980368#0,3435129#3,037569#-0,04912795#0,3781393#3,0259#-0,3522105#0,4610188#3,018423#-0,06601343#0,5724622#3,101193#-0,1712131#0,5970358#3,137357#-0,1160971#0,349498#3,272911#-0,1377645#0,2840111#3,207587#-0,1197521#0,2037201#3,255215#-0,1704401#0,2113192#3,127625#-0,2628193#-0,327396#3,418444#-0,09013053#-0,2844837#3,064482#-0,303623#-0,5929186#3,375644#-0,1870917#-0,630111#3,039021#-0,2623255#-0,6133852#3,274871#-0,1185216#-0,6818425#3,015564#1  
frame16 #-0,008084975#0,9370031#3,365864#-0,09801972#0,7536951#3,313083# -0,2988477#0,4230896#2,906429#-0,1602676#0,3230943#3,02097#-0,2154836#0,4100174#2,919635#-0,2161893#0,3435214#3,041964#-0,05239345#0,3736958#3,035842#-0,3613899#0,4747818#3,048555#-0,06927548#0,568017#3,111272#-0,1743555#0,5904639#3,149226#-0,1308124#0,2815517#3,258997#-0,1545813#0,2048507#3,18987#-0,1309262#0,1812783#3,19229#-0,1829243#0,1802492#3,174337#-0,2617984#-0,3264054#3,420338#-0,0857908#-0,2869108#3,065632#-0,3030864#-0,5905789#3,375506#-0,1870103#-0,6313598#3,03897#-0,2432721#-0,612512#3,285014#-0,1182504#-0,682134#3,015877#1  
frame17 #-0,006377719#0,9311839#3,390412#-0,1006345#0,7520307#3,32157# -0,3008327#0,4212861#2,915115#-0,15032#0,3170082#3,027072#-0,2174354#0,4081924#2,928315#-0,2062644#0,3374436#3,048075#-0,05500995#0,3720326#3,044197#-0,3534152#0,4654943#3,065084#-0,07189049#0,5663528#3,119759#-0,1762378#0,5906981#3,162156#-0,1301704#0,2804536#3,261736#-0,1556215#0,203834#3,193816#-0,1394161#0,1549479#3,22245#-0,1827922#0,1824266#3,171935#-0,2543221#-0,3297729#3,423295#-0,07275918#-0,2903101#3,066325#-0,2994618#-0,5926251#3,375749#-0,186677#-0,6337484#3,038313#-0,2548931#-0,6144357#3,276973#-0,1230184#-0,6810819#3,014372#1  
frame18 #-0,01344497#0,9304633#3,39413#-0,1053967#0,7508889#3,32383# -0,3048895#0,4199871#2,918196#-0,1415578#0,3119028#3,050041#-0,221462#0,4068826#2,931395#-0,1975225#0,3323456#3,071052#-0,05977336#0,3708913#3,046705#-0,3422887#0,4614564#3,075465#-0,07665291#0,5652111#3,12202#-0,1772888#0,5899362#3,169551#-0,1259514#0,2762904#3,266055#-0,1523661#0,1967111#3,201216#-0,1373785#0,1551296#3,218103#-0,1726846#0,1807856#3,191377#-0,249708#-0,3343343#3,4287#-0,06428901#-0,2890189#3,066857#-0,2998634#-0,5923159#3,354865#-0,1850967#-0,6292812#3,035756#-0,251851#-0,6157132#3,258352#-0,1244493#-0,6804214#3,013485#1  
frame19 #-0,02559246#0,9227449#3,436642#-0,109364#0,7390667#3,368437# -0,3084129#0,4080683#2,962981#-0,04091519#0,3268356#3,119315#-0,2249685#0,3949391#2,976196#-0,09689479#0,3472839#3,140332#-0,06374161#0,3590706#3,091245#-0,3253128#0,4532823#3,083719#-0,08062036#0,5533891#3,166626#-0,1763205#0,5878526#3,179492#-0,1367722#0,2783681#3,283045#-0,1436245#0,2041598#3,212195#-0,125233#0,1618755#3,233645#-0,1664545#0,1855881#3,186456#-0,2433403#-0,3358211#3,430481#-0,04902835#-0,284445#3,062901#-0,3121634#-0,5924251#3,380035#-0,1840735#-0,6168299#2,99739#-0,2666386#-0,611445#3,281481#-0,1216137#-0,6805971#3,009861#1  
frame20 #-0,03763538#0,9232116#3,447159#-0,1218612#0,7410017#3,372641# -0,3209337#0,4100069#2,967482#0,0003897399#0,3457559#3,149707#-0,237463#0,3968746#2,980694#-0,05560669#0,3662103#3,17073#-0,07623896#0,3610055#3,095648#-0,2881996#0,432895#3,08876#-0,09311761#0,5553241#3,17083#-0,1755325#0,5870284#3,200763#-0,2016118#0,2505568#3,311342#-0,2299472#0,1698453#3,242348#-0,2169657#0,1466812#3,242248#-0,2490272#0,1568105#3,233065#-0,2358215#-0,336796#3,427095#-0,02967029#-0,268248#3,057665#-0,3132119#-0,5916852#3,382352#-0,1823769#-0,589785#2,969286#-0,2508808#-0,6150417#3,294612#-0,1230679#-0,6754838#2,985568#1  
frame21 #-0,03614675#0,9335753#3,455615#-0,1279391#0,752551#3,399392# -0,3269543#0,4215471#2,994491#0,03858376#0,3587098#3,181722#-0,2435415#0,408424#3,007689#-0,02458428#0,3583475#3,181848#-0,08231685#0,3725549#3,122564#-0,2513753#0,4196443#3,087432#-0,0991955#0,5668734#3,197582#-0,1708089#0,6020133#3,241809#-0,115388#0,2611672#3,291037#-0,137026#0,1816317#3,216081#-0,1227699#0,1522825#3,219786#-0,1517252#0,1762967#3,199999#-0,226523#-0,3374437#3,423116#-0,02067934#-0,2710396#3,047457#-0,3136513#-0,5894121#3,38258#-0,176081#-0,5806218#2,918194#-0,2628434#-0,608573#3,286736#-0,2115967#-0,6259679#2,841657#1  
